"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,648","3,335","13.81%"
"Central Mississippi Correctional Facility","3,557","2,531","10.48%"
"South Mississippi Correctional Institution","3,282","3,200","13.25%"
"Youthful Offender Facility","42","44","0.18%"
"County Jails - Approved*","1,973","1,354","5.61%"
"County Jails - Unapproved**","0","112","0.46%"
"Community Work Centers","1,870","1,132","4.69%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,372","11,708","48.47%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","360","296","1.23%"
"Bolivar County Correctional Facility","369","366","1.52%"
"Carroll County Correctional Facility","280","275","1.14%"
"Chickasaw County Correctional Facility","362","298","1.23%"
"George County Correctional Facility","280","276","1.14%"
"Holmes County Correctional Facility","276","279","1.16%"
"Issaquena County Correctional Facility","274","272","1.13%"
"Jefferson County Correctional Facility","280","279","1.16%"
"Kemper County Correctional Facility","355","346","1.43%"
"Leake County Correctional Facility","280","282","1.17%"
"Marion County Correctional Facility","280","280","1.16%"
"Stone County Correctional Facility","280","280","1.16%"
"Washington County Correctional Facility","300","296","1.23%"
"Winston County Correctional Facility","280","279","1.16%"
"Yazoo County Correctional Facility","300","298","1.23%"
"TOTAL REGIONAL FACILITIES","4,556","4,402","18.22%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,200","4.97%"
"Marshall County Correctional Facility","1,000","981","4.06%"
"Walnut Grove Correctional Facility","1,500","1,254","5.19%"
"Wilkinson County Correctional Facility","1,000","860","3.56%"
"TOTAL PRIVATE PRISONS","5,972","4,295","17.78%"
"Community Trusties","0","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","62",".26%"
"Court Order","0","241","1.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,900","20,721","85.78%"
"Intensive Supervision Program","0","1,495","6.19%"
"Earned Release Supervision Program","","1,394","5.77%"
"Medical Release","","25","0.10%"
"TOTAL COMMUNITY CORRECTIONS","","2,914","12.06%"
"Other Custody","","482","2.00%"
"Off-Grounds Medical (Hospital)","0000","7",".03%"
"At Large (Escapees & Walk-Aways)","","31",".13%"
"TOTAL","25,900","24,155","00
100.00%"
