"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,363","16.30%"
"Central Mississippi Correctional Facility","3,882","3,247","15.73%"
"South Mississippi Correctional Institution","3,082","2,998","14.53%"
"Youthful Offender Facility","58","29","0.14%"
"County Jails - Approved*","1,781","745","3.61%"
"County Jails - Unapproved**","0","308","1.49%"
"Community Work Centers","1,364","734","3.56%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,757","11,424","55.35%"
"Alcorn County Correctional Facility","300","239","1.16%"
"Bolivar County Correctional Facility","369","293","1.42%"
"Carroll County Correctional Facility","280","239","1.16%"
"Chickasaw County Correctional Facility","310","270","1.31%"
"George County Correctional Facility","280","223","1.08%"
"Holmes County Correctional Facility","280","216","1.05%"
"Issaquena County Correctional Facility","274","273","1.32%"
"Jefferson County Correctional Facility","280","280","1.36%"
"Kemper County Correctional Facility","355","351","1.70%"
"Leake County Correctional Facility","280","197","0.95%"
"Marion County Correctional Facility","280","223","1.08%"
"Stone County Correctional Facility","326","263","1.27%"
"Washington County Correctional Facility","300","231","1.12%"
"Winston County Correctional Facility","280","223","1.08%"
"Yazoo County Correctional Facility","300","237","1.15%"
"TOTAL REGIONAL FACILITIES","4,494","3,758","18.21%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,162","5.63%"
"Marshall County Correctional Facility","1,000","999","4.84%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","874","4.23%"
"TOTAL PRIVATE PRISONS","5,972","3,035","14.71%"
"Community Trusties","16","40",".19%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","65",".31%"
"TVC","0","7",".03%"
"Transitional Housing","0","2","0.0%"
"Court Order","0","239","1.16%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,223","18,570","89.98%"
"Intensive Supervision Program","0","759","3.68%"
"Conditional Release","0","3","0.01%"
"Contempt","0","1",".00%"
"Bond Monitoring","0","3",".01%"
"Earned Release Supervision Program","0","674","3.27%"
"Failure to Register-Monitoring","0","6","0.03%"
"RRP","0","105","0.51%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","","1,563","7.57%"
"Other Custody","0 0 0","467","2.26%"
"Off-Grounds Medical (Hospital)","","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","29","0.14%"
"TOTAL","24,223","20,638","100.00%"
"*NOTE:  The jail capacity is approved by the courts, and includes inmates, sheriff trusties,  and work program participants.","","",""
