"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,529","4,473","35.32%"
"Central Mississippi Correctional Facility","3,293","3,083","24.34%"
"South Mississippi Correctional Institution","2,066","1,920","15.16%"
"County Jails - Approved*","2,056","1,288","10.17%"
"County Jails - Unapproved**","0","147","1.16%"
"Community Work Centers","1,816","1,754","13.85%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,760","12,665","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","295","9.71%"
"Carroll County Correctional Facility","280","279","9.18%"
"George County Correctional Facility","280","279","9.18%"
"Holmes County Correctional Facility","280","277","9.12%"
"Issaquena County Correctional Facility","274","270","8.89%"
"Jefferson County Correctional Facility","250","248","8.16%"
"Kemper County Correctional Facility","280","274","9.02%"
"Leake County Correctional Facility","280","279","9.18%"
"Marion County Correctional Facility","280","279","9.18%"
"Stone County Correctional Facility","280","279","9.18%"
"Winston County Correctional Facility","280","279","9.18%"
"TOTAL REGIONAL FACILITIES","3,058","3,038","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","970","19.84%"
"East MS Correctional Facility","1,000","875","17.90%"
"Marshall County Correctional Facility","1,000","995","20.35%"
"Tallahatchie County Correctional Facility","128","127","2.60%"
"Walnut Grove Correctional Facility","1,000","946","19.35%"
"Wilkinson County Correctional Facility","1,000","976","19.96%"
"TOTAL PRIVATE PRISONS","5,100","4,889","100.00%"
"Community Trusties","2","20","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","22","0.09%"
"Court Order","0","341","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,940","20,975","85.02%"
"Intensive Supervision Program","0","1,565","6.34%"
"Earned Release Supervision Program","","1,667","6.76%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,241","13.14%"
"Other Custody","","318","1.29%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","131","0.53%"
"TOTAL","21,940","24,672","100.00%"
