"ACTIVE OFFENDER POPULATION",""
"BY TYPE",""
"NO. OF","% OF TOTAL"
"OFFENDERS","OFFENDERS"
"INMATES",""
"Custody Population (Inmate and RID status)
18,570","34.72%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, RRP, Failure to Report, Bond Monitoring, Contempt)
1,563","2.92%"
"Other Custody
467",".87%"
"At Large (Escapees & Walk-Aways)
29",".05%"
"Off-Grounds Medical (Hospital)
9",".02%"
"20,638
INMATE TOTAL","38.59%"
"PAROLEES
8,424","15.75%"
"TVC Parole
113","0.21%"
"PROBATIONERS
24,172","45.20%"
"TVC Probation
132","0.25%"
"32,841
PAROLEE AND PROBATIONER TOTAL","61.41%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS 
53,479","100.00%"
