"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,551","46.34%",""
"Community Corrections (ERS, ISP, Medical Release)","2,612","5.89%",""
"Other Custody","230","0.52%",""
"At Large (Escapees & Walk-Aways)","153","0.35%",""
"University of MS Medical Center","0","0.00%",""
"","23,546","53.10%","Inmate Total"
"PAROLEES","1,813","4.09%",""
"PROBATIONERS","18,985","42.81%",""
"","20,798","46.90%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","44,344","100.00%",""
