"TOTAL
23,126","","100.00%","","2,537","","100.00%","","25,663","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,045","","2","1,103","0","27","0","0","0","7","0","0","0","4,184"
"CMCF","1,247","","797","714","697","14","6","5","2","2","2","1","0","3,487"
"SMCI","2,000","","0","979","0","49","0","2","0","10","0","1","0","3,041"
"County Jails (approved)","763","","59","482","75","9","1","1","0","3","0","2","0","1,395"
"County Jails (unapproved)","95","","8","53","14","2","0","0","0","0","0","0","0","172"
"Private Prisons","3,625","","0","1,112","0","30","0","4","0","6","0","4","0","4,781"
"Regional Correctional Facilities","2,190","","0","820","0","23","0","2","0","6","0","0","0","3,041"
"Community Work Centers","998","","111","491","135","10","0","1","2","2","0","0","0","1,750"
"Community Trusties","13","","0","4","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","67","","1","28","4","2","0","0","0","0","0","0","0","102"
"Court Order","155","","12","129","33","1","0","2","0","1","0","0","0","333"
"","14,198","","990","5,915","958","167","7","17","4","37","2","8","0","22,303"
"Intensive Supervison Program","445","","136","403","204","8","1","1","0","0","3","6","5","1,212"
"Earned Release Supervision","1,088","","111","446","79","4","1","2","0","1","0","0","0","1,732"
"Medical Release","5","","1","6","0","0","0","0","0","0","0","0","0","12"
"Other Custody","138","","10","118","14","33","3","0","0","3","0","3","1","323"
"At Large","48","","2","15","3","4","0","0","0","0","0","0","0","72"
"Off-Grounds Medical (Hospital)","6","","1","1","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15,928","","1,251","6,904","1,259","216","12","20","4","41","5","17","6","25,663"
"% OF TOTAL OFFENSES","62.07%","","4.87%","26.90%","4.91%","0.84%","0.05%","0.08%","0.02%","0.16%","0.02%","0.07%","0.02%","100.00%"
