"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable",""
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female",""
"MSP","2,229","","0","1,012","","0","25","","0","2","","0","6","","0","2","0",""
"CMCF","1,055","","393","610","","459","16","","5","3","","3","3","","1","0","0",""
"SMCI","1,768","","0","877","","0","32","","0","2","","0","5","","0","1","0",""
"County Jails (approved)","387","","16","245","","37","4","","0","0","","0","0","","1","0","0",""
"County Jails (unapproved)","189","","3","132","","14","3","","0","0","","0","0","","0","2","0",""
"Youthful Offender Facility","23","","0","2","","0","1","","0","0","","0","0","","0","0","0",""
"Private Prisons","2,845","","0","1,037","","0","22","","0","8","","0","7","","0","0","0",""
"Regional Correctional Facilities","2,296","","96","1,021","","113","30","","1","5","","0","9","","0","0","0",""
"Community Work Centers","600","","49","329","","117","0","","2","2","","0","3","","0","3","0",""
"Community Trusties","9","","0","2","","0","0","","0","0","","0","0","","0","0","0",""
"Pending File Review","47","","4","28","","5","0","","0","1","","0","1","","0","0","0",""
"Court Order","152","","2","93","","11","1","","1","0","","0","0","","1","0","0",""
"","11,600","","563","5,388","","756","134","","9","23","","3","34","","3","8","0",""
"Intensive Supervison Program","353","","99","243","","136","0","","2","0","","1","4","","1","1","0",""
"Earned Release Supervision","563","","57","189","","34","3","","0","0","","0","2","","0","0","0",""
"Medical Release","8","","0","4","","2","0","","0","0","","0","0","","0","0","0",""
"Other Custody","235","","12","197","","22","41","","4","3","","0","3","","0","3","0",""
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0",""
"Off-Grounds Medical (Hospital)","2","","0","0","","0","0","","0","0","","0","0","","0","0","0",""
"TOTAL","12,777","","731","6,027","","952","181","","15","26","","4","43","","4","12","0",""
"% OF TOTAL OFFENDERS","61.51%","","3.52%","29.02%","","4.58%",".87%","",".07%",".13%","",".02%",".21%","",".02%",".06%",".00%",""
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL"
"MSP","","","586","","563","","","190","","","1,394","","","543","","","","3,276"
"CMCF","","","628","","708","","","141","","","819","","","252","","","","2,548"
"SMCI","","","465","","528","","","166","","","1,034","","","492","","","","2,685"
"County Jails (approved)","","","379","","225","","","14","","","62","","","10","","","","690"
"Youthful Offender Facility","","","0","","0","","","5","","","13","","","8","","","","26"
"County Jails (unapproved)","","","95","","154","","","17","","","60","","","17","","","","343"
"Private Prisons","","","495","","557","","","273","","","1,918","","","676","","","","3,919"
"Regional Correctional Facilities","","","608","","574","","","276","","","1,333","","","780","","","","3,571"
"Community Work Centers","","","733","","342","","","2","","","27","","","0","","","","1,104"
"Community Trusties","","","9","","","","","0","","","0","","","0","","","","11"
"Pending File Review","","","42","","6","","","1","","","7","","","0","","","","86"
"Court Order","","","87","","90","","","14","","","56","","","14","","","","261"
"TOTAL CUSTODY POPULATION","","","4,127","","3,779","","","1,099","","","6,723","","","2,792","","","","18,520"
"% OF TOTAL OFFENSES","","","22.28%","","20.40%","","","5.93%","","","36.30%","","","15.08%","","","","100.00%"
"Intensive Supervison Program","","","365","","407","","","9","","","54","","","5","","","","840"
"Earned Release Supervision","","","258","","65","","","147","","","377","","","1","","","","848"
"Medical Release","","","7","","5","","","0","","","2","","","","","","","14"
"Other Custody","","","168","","220","","","17","","","89","","","6","","","","520"
"At Large","","","","","4","","","0","","","7","","","0","","","","27"
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","1","","","0","","","","2"
"TOTAL","","","4,931","","4,491","","","1,272","","","7,253","","","2,824","","","","20,771"
"% OF TOTAL OFFENSES","","","23.74%","","21.62%","","","6.12%","","","34.92%","","","13.60%","","","","6 0
2 3
11
0 2
100.00%"
