"BY RACE/SEX AND LOCATION","","","","","","",""
"","","Black","White","Hispanic","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,252","0","1,064
1","13
0","3
0","3
0","0
0
3,336"
"CMCF","1,480","457","806
508","15
4","6
2","2
1","1
0
3,282"
"SMCI","2,156","0","1,015
0","42
0","4
0","0
10","0
0
3,227"
"County Jails (approved)","888","41","501
70","6
0","4
1","2
0","0
0
1,513"
"County Jails (unapproved)","256","12","164
39","4
1","1
0","0
0","0
0
477"
"Youthful Offender Facility","25","0","13
0","0
0","0
0","0
0","0
0
38"
"Private Prisons","3,266","0","1,083
0","33
0","5
0","5
0","0
0
4,392"
"Regional Correctional Facilities","2,799","141","1,285
156","41
2","2
1","8
0","0
0
4,435"
"Community Work Centers","763","70","415
142","1
2","3
0","5
0","0
0
1,401"
"Community Trusties","6","0","4
0","0
0","0
0","0
0","0
0
10"
"Pending File Review","15","6","16
2","1
0","0
0","1
0","0
0
41"
"Court Order","169","11","123
21","3
1","0
0","1
0","0
0
329"
"","14,075","738","6,489
939","159
10","28
4","27
11","1
0
22,481"
"Intensive Supervison Program","658","165","491
246","7
3","2
0","3
1","3
2
1,581"
"Earned Release Supervision","1,017","78","427
100","3
0","3
0","3
0","0
0
1,631"
"Medical Release","16","1","4
2","0
0","0
0","0
0","0
0
23"
"Other Custody","220","9","160
27","45
5","1
1","3
0","3
0
474"
"At Large","18","0","8
2","3
0","0
0","0
0","0
0
31"
"Off-Grounds Medical (Hospital)","4","0","3
0","0
0","0
0","0
0","0
0
7"
"TOTAL","16,008","991","7,582
1,316","217
18","34
5","36
12","7
2
26,228"
"% OF TOTAL OFFENDERS","61.03%","3.78%","28.91%
5.02%",".83%
.07%",".13%
.02%",".14%
.05%",".03%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","761","773","169","1,174","493","3,370"
"CMCF","","921","1,050","164","813","334","3,282"
"SMCI","","676","827","175","1,026","523","3,227"
"County Jails (approved)","","757","645","25","63","24","1,514"
"Youthful Offender Facility","","0","6","1","27","4","38"
"County Jails (unapproved)","","185","219","16","30","27","477"
"Private Prisons","","526","918","290","2,043","615","4,392"
"Regional Correctional Facilities","","950","1,117","311","1,253","804","4,435"
"Community Work Centers","","840","556","2","3","0","1,401"
"Community Trusties","","","","0","0","0","10"
"Pending File Review","","0","9","0","2","0","41"
"Court Order","","110","116","14","40","14","294"
"TOTAL CUSTODY POPULATION","","5,753","6,249","1,167","6,474","2,838","22,481"
"% OF TOTAL OFFENSES","","25.59%","27.80%","5.19%","28.80%","12.62%","100.00%"
"Intensive Supervison Program","","691","826","13","44","7","1,581"
"Earned Release Supervision","","473","570","193","386","9","1,631"
"Medical Release","","11","6","1","5","","23"
"Other Custody","","202","166","12","72","2","474"
"At Large","","","7","","7","0","31"
"Off-Grounds Medical (Hospital)","","","","","1","0","7"
"TOTAL","","7,140","7,837","1,386","6,989","2,876","26,228"
"% OF TOTAL OFFENSES","","27.22%","29.88%","5.28%","26.65%","10.97%","7 2
7 3
3 1
31
0 0
0 2
100.00%"
