"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,440","","65.18%","","","","648","","","38.85%","","","","13,088","","","","63.07%"
"White
6,373","","33.39%","","","","990","","","59.35%","","","","7,363","","","","35.48%"
"Hispanic
193","","1.01%","","","","19","","","1.14%","","","","212","","","","1.02%"
"Native American
25","",".13%","","","","4","","",".24%","","","","29","","","",".14%"
"Asian
46","",".24%","","","","4","","",".24%","","","","50","","","",".24%"
"Data Unavailable
8","",".04%","","","","3","","",".18%","","","","11","","","",".05%"
"TOTAL
19,085","","100.00%","","","","1,668","","","100.00%","","","","20,753","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,211","","0","1,128","0","","22","0","","2","0","7","","0","1","0","3,371"
"CMCF","1,511","","338","925","517","","21","10","","6","1","5","","3","1","2","3,340"
"SMCI","2,028","","0","997","0","","25","0","","2","0","5","","0","0","0","3,057"
"County Jails (approved)","399","","5","312","34","","4","0","","0","0","2","","0","2","0","758"
"County Jails (unapproved)","153","","7","71","19","","1","1","","0","0","0","","0","1","0","253"
"Youthful Offender Facility","23","","0","2","0","","1","0","","0","0","0","","0","0","0","26"
"Private Prisons","2,226","","0","821","0","","21","0","","7","0","1","","0","0","0","3,076"
"Regional Correctional Facilities","2,399","","109","1,179","106","","50","2","","5","1","11","","0","0","0","3,862"
"Community Work Centers","386","","37","243","129","","4","3","","2","0","4","","0","0","0","808"
"Community Trusties","21","","0","8","0","","0","0","","0","0","1","","0","0","0","30"
"TVC","0","","0","0","0","","0","0","","0","0","0","","0","0","0","0"
"Pending File Review","42","","2","38","4","","0","0","","0","0","1","","0","0","0","87"
"Court Order","100","","3","59","1","","1","0","","0","0","0","","0","0","0","164"
"","11,499","","501","5,783","810","","150","16","","24","2","37","","3","5","2","18,832"
"Intensive Supervison Program","288","","87","241","114","","3","1","","1","1","3","","1","1","1","742"
"Earned Release Supervision","373","","45","116","36","","3","0","","0","0","1","","0","0","0","574"
"Medical Release","6","","0","3","2","","0","0","","0","0","0","","0","0","0","11"
"Other Custody","228","","13","206","22","","34","2","","0","1","4","","0","1","0","511"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"At Large","17","","0","6","2","","3","0","","0","0","0","","0","0","0","28"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"Failure to Report-Monitoring","1","","0","1","0","","0","0","","0","0","0","","0","0","0","2"
"RRP","23","","2","13","3","","0","0","","0","0","1","","0","1","0","43"
"Off-Grounds Medical (Hospital)","4","","0","3","0","","0","0","","0","0","0","","0","0","0","7"
"TOTAL","12,440","","648","6,373","990","","193","19","","25","4","46","","4","8","3","20,753"
"% OF TOTAL OFFENDERS","59.94%","","3.12%","30.71%","4.77%","",".93%",".09%","",".12%",".02%",".22%","",".02%",".04%",".01%","100.00%"
