"TOTAL
22,458","","100.00%","","","2,155","","","100.00%","","24,613","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,195","","1","975","1","19","0","2","0","4","0","1","0","3,198"
"CMCF","1,299","","507","766","554","18","5","4","4","3","0","0","0","3,160"
"SMCI","2,106","","0","1,016","0","41","0","6","0","4","0","0","0","3,173"
"County Jails (approved)","632","","59","355","88","4","0","2","0","0","0","0","0","1,140"
"County Jails (unapproved)","99","","0","66","10","2","0","0","0","0","0","1","0","178"
"Private Prisons","3,966","","0","1,255","0","32","0","8","0","2","0","1","0","5,264"
"Regional Correctional Facilities","1,977","","31","914","29","32","0","2","0","6","0","1","0","2,992"
"Community Work Centers","867","","75","467","135","4","3","0","1","3","0","0","0","1,555"
"Community Trusties","11","","0","3","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","71","","9","39","15","3","0","0","1","0","0","0","0","138"
"Court Order","163","","16","99","18","1","0","1","0","1","1","0","0","300"
"","13,386","","698","5,955","850","156","8","25","6","23","1","4","0","21,112"
"Intensive Supervison Program","640","","154","536","249","6","0","5","0","7","1","1","0","1,599"
"Earned Release Supervision","901","","82","393","59","6","0","0","0","2","0","0","0","1,443"
"Medical Release","24","","8","9","3","0","0","0","0","0","0","0","0","44"
"Other Custody","161","","8","126","20","37","5","2","1","3","0","5","0","368"
"At Large","23","","0","11","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","7","","0","1","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15,142","","950","7,031","1,183","208","13","32","7","35","2","10","0","24,613"
"% OF TOTAL OFFENDERS","61.52%","","3.86%","28.57%","4.81%",".85%",".05%",".13%",".03%",".14%",".01%",".04%",".00%","100.00%"
