"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,505","33.80%"
"Community Corrections (ERS, ISP, Medical Release)","3,055","4.80%"
"Other Custody","488",".77%"
"At Large (Escapees & Walk-Aways)","30",".05%"
"Off-Grounds Medical (Hospital)","10",".02%"
"INMATE TOTAL","25,088","39.43%"
"PAROLEES","7,774","12.22%"
"PROBATIONERS","30,762","48.35%"
"PAROLEE AND PROBATIONER TOTAL","38,536","60.57%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,624","100.00%"
