"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","18,875","48.54%",""
"Community Corrections (ERS, ISP, Medical Release)","2,228","5.73%",""
"Other Custody","208","0.53%",""
"At Large (Escapees & Walk-Aways)","85","0.22%",""
"University of MS Medical Center","5","0.01%",""
"","21,401","55.04%","Inmate Total"
"PAROLEES","1,670","4.30%",""
"PROBATIONERS","15,811","40.66%",""
"","17,481","44.96%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,882","100.00%",""
