"TOTAL","17,895","","100.00%","1,429","","100.00%","","19,325","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","","Data Unavailable TOTAL",""
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","1,364","0","639","0","17","0","0","0","5","0","0","0","2,025"
"CMCF","1,316","344","892","413","25","5","7","2","4","0","0","0","3,008"
"SMCI","1,596","0","833","0","21","0","3","0","8","0","0","0","2,461"
"County Jails (approved)","362","3","415","30","5","0","0","0","2","0","0","0","817"
"County Jails (unapproved)","350","27","281","76","6","0","1","0","2","0","6","0","749"
"Youthful Offender Facility","14","1","2","0","0","0","0","0","0","0","0","0","17"
"Private Prisons","2,600","0","892","0","21","0","9","0","2","0","1","0","3,525"
"Regional Correctional Facilities","2,540","46","1,328","67","57","2","7","0","14","0","0","0","4,061"
"Community Work Centers","148","16","77","83","2","0","0","0","1","0","0","0","327"
"Community Trusties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TVC","80","0","33","0","0","0","0","0","0","0","0","0","113"
"Transitional Housing","2","0","4","1","0","0","0","0","0","0","0","0","7"
"Pending File Review","62","3","48","5","1","0","0","0","1","0","0","0","120"
"RRP","9","0","17","12","0","0","0","0","0","0","0","0","38"
"Court Order","71","7","72","11","0","0","0","0","0","0","0","0","161"
"","10,514","447","5,533","698","155","7","27","2","39","0","7","0","17,429"
"Intensive Supervison Program","310","75","284","123","1","0","2","0","0","2","2","0","799"
"Earned Release Supervision","382","23","135","25","2","0","0","1","1","0","0","0","569"
"Medical Release","9","0","10","0","0","0","0","0","0","0","0","0","19"
"Other Custody","239","7","173","13","30","0","0","2","0","0","1","0","465"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","5","0","5","0","0","0","0","0","0","0","0","0","10"
"TOTAL","11,477","552","6,149","863","191","7","29","5","40","2","10","0","19,325"
"% OF TOTAL OFFENDERS","59.39%","2.86%","31.82%","4.47%",".99%",".04%",".15%",".03%",".21%",".01%",".05%",".00%","100.00%"
