"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,305","27.80%"
"Community Corrections (ERS, ISP, Medical Release)","1,772","2.69%"
"Other Custody","538",".82%"
"At Large (Escapees & Walk-Aways)","27",".04%"
"Off-Grounds Medical (Hospital)","5",".01%"
"INMATE TOTAL","20,647","31.35%"
"PAROLEES","8,977","13.63%"
"TVC Parole","414","0.63%"
"PROBATIONERS","35,675","54.17%"
"TVC Probation","142","0.22%"
"PAROLEE AND PROBATIONER TOTAL","45,208","68.65%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","65,855","100.00%"
