"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,811","41.07%"
"Community Corrections (ERS, ISP, Medical Release)","3,530","6.97%"
"Other Custody","293","0.58%"
"At Large (Escapees & Walk-Aways)","107","0.21%"
"Off-Grounds Medical (Hospital)","4","0.01%"
"INMATE TOTAL","24,745","48.83%"
"PAROLEES","2,428","4.79%"
"PROBATIONERS","23,504","46.38%"
"PAROLEE AND PROBATIONER TOTAL","25,932","51.17%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","50,677","100.00%"
