"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,176","45.74%",""
"Community Corrections (ERS, ISP, Medical Release)","2,668","5.76%",""
"Other Custody","233","0.50%",""
"At Large (Escapees & Walk-Aways)","46","0.10%",""
"University of MS Medical Center","0","0.00%",""
"","24,123","52.11%","Inmate Total"
"PAROLEES","2,032","4.39%",""
"PROBATIONERS","20,139","43.50%",""
"","22,171","47.89%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","46,294","100.00%",""
