"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","18,893","48.60%",""
"Community Corrections (ERS, ISP, Medical Release)","2,362","6.08%",""
"Other Custody","202","0.52%",""
"At Large (Escapees & Walk-Aways)","80","0.21%",""
"University of MS Medical Center","6","0.02%",""
"","21,543","55.41%","Inmate Total"
"PAROLEES","1,756","4.52%",""
"PROBATIONERS","15,577","40.07%",""
"","17,333","44.59%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,876","100.00%",""
