"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,112","36.61%"
"Community Corrections (ERS, ISP, Medical Release)","3,086","5.35%"
"Other Custody","368",".64%"
"At Large (Escapees & Walk-Aways)","39",".07%"
"Off-Grounds Medical (Hospital)","8",".01%"
"INMATE TOTAL","24,613","42.68%"
"PAROLEES","6,564","11.38%"
"PROBATIONERS","26,490","45.94%"
"PAROLEE AND PROBATIONER TOTAL","33,054","57.32%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","57,667","100.00%"
