"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,768","5,661","38.56%",""
"Central Mississippi Correctional Facility","3,233","3,130","21.32%",""
"South Mississippi Correctional Institution","2,214","2,096","14.28%",""
"County Jails - Approved*","2,176","255","1.74%",""
"County Jails - Unapproved**","0","1,932","13.16%",""
"Community Work Centers","1816","1,606","10.94%",""
"","15,207","14,680","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","245","8.96%",""
"Carroll County Correctional Facility","250","249","9.11%",""
"GeorgeCounty Correctional Facility","250","243","8.89%",""
"Holmes County Correctional Facility","250","250","9.15%",""
"Issaquena County Correctional Facility","250","250","9.15%",""
"Jefferson County Correctional Facility","250","250","9.15%",""
"Kemper County Correctional Facility","250","248","9.07%",""
"Leake Correctional Facility","250","250","9.15%",""
"Marion County Correctional Facility","250","250","9.15%",""
"Stone County Correctional Facility","250","249","9.11%",""
"Winston County Correctional Facility","250","249","9.11%",""
"","2,750","2,733","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","728","21.14%",""
"Marshall County Correctional Facility","1,000","990","28.75%",""
"Walnut Grove Correctional Facility","750","728","21.14%",""
"Wilkinson County Correctional Facility","1,000","997","28.96%",""
"","3,750","3,443","100.00%","Private Prisons"
"Community Trusties","30","23","0.10%",""
"Emergency Suspension","00","00","0.00%",""
"Court Order","","","0.00%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,878","88.19%",""
"Intensive Supervision Program","","1,277","5.39%",""
"Earned Release Supervision Program","","1,256","5.31%",""
"Medical Release","000 00","0","0.00%",""
"","","2,533","10.70%","Community Corrections"
"Other Custody","","216","0.91%",""
"University of MS Medical Center","0","0","0.00%",""
"At Large (Escapees & Walk-Aways)","0","47","0.20%",""
"TOTAL","21,737","23,674","100.00%",""
