"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,170","","0","960","","0","20","","0","3","","0","7","","0","2","0","","3,162"
"CMCF","929","","356","530","","399","8","","4","1","","2","3","","1","2","0","","2,235"
"SMCI","1,528","","0","865","","0","35","","0","2","","0","6","","0","0","0","","2,436"
"County Jails (approved)","589","","25","330","","49","5","","0","0","","0","0","","1","0","0","","999"
"County Jails (unapproved)","153","","5","87","","10","1","","0","0","","0","1","","0","0","0","","257"
"Youthful Offender Facility","20","","0","4","","0","0","","0","0","","0","0","","0","0","0","","24"
"Private Prisons","2,949","","0","957","","0","25","","0","8","","0","9","","0","0","0","","3,948"
"Regional Correctional Facilities","2,697","","108","1,188","","131","37","","1","3","","0","10","","0","0","0","","4,175"
"Community Work Centers","541","","53","297","","126","0","","2","3","","0","1","","0","2","0","","1,025"
"Community Trusties","6","","0","2","","0","0","","0","0","","0","0","","0","0","0","","8"
"Pending File Review","33","","4","24","","5","0","","0","0","","0","1","","0","1","0","","68"
"Court Order","116","","5","84","","15","2","","2","0","","0","0","","1","0","0","","225"
"","11,731","","556","5,328","","735","133","","9","20","","2","38","","3","7","0","","18,562"
"Intensive Supervison Program","482","","127","379","","222","6","","3","0","","1","3","","0","1","1","","1,225"
"Earned Release Supervision","608","","59","194","","34","3","","1","0","","0","0","","0","0","0","","899"
"Medical Release","9","","0","7","","1","0","","0","0","","0","0","","0","0","0","","17"
"Other Custody","247","","13","186","","24","50","","6","2","","1","5","","0","3","0","","537"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","4","","0","3","","0","0","","0","0","","0","0","","0","0","0","","7"
"TOTAL","13,097","","755","6,103","","1,018","195","","19","22","","4","46","","3","11","1","","21,274"
"% OF TOTAL OFFENDERS","61.56%","","3.55%","28.69%","","4.79%",".92%","",".09%",".10%","",".02%",".22%","",".01%",".05%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","618","","571","","","185","","","1,294","","","494","","","","3,162",""
"CMCF","","","546","","617","","","113","","","704","","","255","","","","2,235",""
"SMCI","","","452","","578","","","125","","","829","","","452","","","","2,436",""
"County Jails (approved)","","","579","","312","","","17","","","68","","","23","","","","999",""
"Youthful Offender Facility","","","","","1","","","4","","","15","","","3","","","","24",""
"County Jails (unapproved)","","","9","","128","","","8","","","31","","","11","","","","257",""
"Private Prisons","","","460","","573","","","291","","","1,964","","","660","","","","3,948",""
"Regional Correctional Facilities","","","724","","754","","","370","","","1,462","","","865","","","","4,175",""
"Community Work Centers","","","627","","389","","","2","","","7","","","0","","","","1,025",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","8",""
"Pending File Review","","","5","","8","","","2","","","10","","","3","","","","68",""
"Court Order","","","79","","93","","","7","","","35","","","11","","","","225",""
"TOTAL CUSTODY POPULATION","","","4,187","","4,055","","","1,124","","","6,419","","","2,777","","","","18,562",""
"% OF TOTAL OFFENSES","","","22.56%","","21.85%","","","6.06%","","","34.58%","","","14.96%","","","","100.00%",""
"Intensive Supervison Program","","","512","","662","","","10","","","36","","","5","","","","1,225",""
"Earned Release Supervision","","","256","","107","","","154","","","376","","","6","","","","899",""
"Medical Release","","","9","","6","","","0","","","2","","","","","","","17",""
"Other Custody","","","197","","223","","","15","","","75","","","7","","","","537",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","1","","","2","","","","7",""
"TOTAL","","","5,168","","5,070","","","1,303","","","6,916","","","2,817","","","","21,274",""
"% OF TOTAL OFFENSES","","","24.29%","","23.83%","","","6.13%","","","32.51%","","","13.24%","","","","100.00%","1 7
7 1
6 1
1 3
31
0 2"
