"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,551","5,189","40.00%",""
"Central Mississippi Correctional Facility","3,049","2,966","22.87%",""
"South Mississippi Correctional Institution","2,214","2,087","16.09%",""
"County Jails - Approved*","2,146","1,462","11.27%",""
"County Jails - Unapproved**","0","14","0.11%",""
"Community Work Centers","1320","1,253","9.66%",""
"","14,280","12,971","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","11","0.55%",""
"Carroll County Correctional Facility","250","234","11.61%",""
"Holmes County Correctional Facility","250","218","10.82%",""
"Issaquena County Correctional Facility","250","211","10.47%",""
"Jefferson County Correctional Facility","250","225","11.17%",""
"Kemper County Correctional Facility","250","241","11.96%",""
"Leake Correctional Facility","250","212","10.52%",""
"Marion County Correctional Facility","250","228","11.32%",""
"Stone County Correctional Facility","250","215","10.67%",""
"Winston County Correctional Facility","250","220","10.92%",""
"","2,500","2,015","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","872","23.96%",""
"East MS Correctional Facility","500","496","13.63%",""
"Marshall County Correctional Facility","1,000","883","24.26%",""
"Walnut Grove Correctional Facility","500","496","13.63%",""
"Wilkinson County Correctional Facility","900","892","24.51%",""
"","3,900","3,639","100.00%","Private Prisons"
"Community Trusties","30","22","0.10%",""
"Emergency Suspension","","3","0.01%",""
"Court Order","","255","1.18%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,710","18,905","87.76%",""
"Intensive Supervision Program","","1,298","6.03%",""
"Earned Release Supervision Program","","1,045","4.85%",""
"Medical Release","0 0 0 0 0","1","0.00%",""
"","","2,344","10.88%","Community Corrections"
"Other Custody","","204","0.95%",""
"University of MS Medical Center","0","9","0.04%",""
"At Large (Escapees & Walk-Aways)","0","79","0.37%",""
"TOTAL","20,710","21,541","100.00%","00"
