"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,435","3,454","26.74%"
"Central Mississippi Correctional Facility","3,449","3,220","24.93%"
"South Mississippi Correctional Institution","3,204","3,168","24.52%"
"County Jails - Approved*","1,467","1,131","8.76%"
"County Jails - Unapproved**","0","299","2.31%"
"Community Work Centers","1,848","1,646","12.74%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,403","12,918","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","234","9.27%"
"Carroll County Correctional Facility","280","224","8.87%"
"George County Correctional Facility","280","222","8.79%"
"Holmes County Correctional Facility","280","224","8.87%"
"Issaquena County Correctional Facility","274","217","8.59%"
"Jefferson County Correctional Facility","280","222","8.79%"
"Kemper County Correctional Facility","355","283","11.21%"
"Leake County Correctional Facility","280","227","8.99%"
"Marion County Correctional Facility","280","224","8.87%"
"Stone County Correctional Facility","280","224","8.87%"
"Winston County Correctional Facility","280","224","8.87%"
"TOTAL REGIONAL FACILITIES","3,163","2,525","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","899","16.98%"
"East MS Correctional Facility","1,500","1,358","25.64%"
"Marshall County Correctional Facility","1,000","897","16.94%"
"Walnut Grove Correctional Facility","1,500","1,190","22.47%"
"Wilkinson County Correctional Facility","1,000","952","17.98%"
"TOTAL PRIVATE PRISONS","5,972","5,296","100.00%"
"Community Trusties","2","15",".07%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","","102",".47%"
"Court Order","00","272","1.26%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,560","21,128","98.08%"
"Intensive Supervision Program","0","1,570","7.29%"
"Earned Release Supervision Program","","1,443","6.70%"
"Medical Release","00","45",".21%"
"TOTAL COMMUNITY CORRECTIONS","00","","0.00%"
"Other Custody","","362","1.68%"
"Off-Grounds Medical (Hospital)","","94",".04%"
"At Large (Escapees & Walk-Aways)","00","2",".19%"
"TOTAL","23,560","21,541","100.00%"
