"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,309","","67.04%","","","","917","","","40.79%","","","","16,226","","","","64.69%"
"White
7,246","","31.73%","","","","1,309","","","58.23%","","","","8,555","","","","34.11%"
"Hispanic
205","",".90%","","","","13","","",".58%","","","","218","","","",".87%"
"Native American
27","",".12%","","","","","","",".22%","","","","32","","","",".13%"
"Asian
35","",".15%","","","","5 3","","",".13%","","","","38","","","",".15%"
"Data Unavailable
14","",".06%","","","","1","","",".04%","","","","15","","","",".06%"
"TOTAL
22,836","","100.00%","","","","2,248","","","100.00%","","","","25,084","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,109","","0","931","0","","13","0","","2","0","3","","0","0","0","3,058"
"CMCF","1,261","","444","756","542","","16","2","","3","3","3","","2","0","0","3,032"
"SMCI","2,093","","0","1,057","0","","38","0","","4","0","6","","0","0","0","3,198"
"County Jails (approved)","713","","45","423","93","","4","1","","1","0","0","","0","1","0","1,281"
"County Jails (unapproved)","195","","2","134","6","","2","0","","0","0","0","","0","1","0","340"
"Private Prisons","3,855","","0","1,257","0","","34","0","","6","0","9","","0","0","0","5,161"
"Regional Correctional Facilities","2,124","","96","1,045","130","","32","1","","3","0","4","","0","3","0","3,438"
"Community Work Centers","887","","53","413","134","","6","2","","3","0","3","","1","0","0","1,502"
"Community Trusties","9","","0","7","0","","0","0","","0","0","0","","0","0","0","16"
"Pending File Review","69","","6","38","26","","2","0","","0","0","0","","0","0","0","141"
"Court Order","195","","9","96","20","","0","0","","0","0","1","","0","0","0","321"
"","13,510","","655","6,157","951","","147","6","","22","3","29","","3","5","0","21,488"
"Intensive Supervison Program","611","","155","553","255","","8","2","","3","1","3","","0","4","1","1,596"
"Earned Release Supervision","960","","93","381","76","","2","1","","1","0","0","","0","0","0","1,514"
"Medical Release","18","","5","6","3","","0","0","","0","0","0","","0","0","0","32"
"Other Custody","186","","7","137","20","","45","4","","1","1","3","","0","5","0","409"
"At Large","21","","0","11","2","","3","0","","0","0","0","","0","0","0","37"
"Off-Grounds Medical (Hospital)","3","","2","1","2","","0","0","","0","0","0","","0","0","0","8"
"TOTAL","15,309","","917","7,246","1,309","","205","13","","27","5","35","","3","14","1","25,084"
"% OF TOTAL OFFENDERS","61.03%","","3.66%","28.89%","5.22%","",".82%",".05%","",".11%",".02%",".14%","",".01%",".06%",".00%","100.00%"
