"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","22,167","35.86%"
"Community Corrections (ERS, ISP, Medical Release)","3,269","5.29%"
"Other Custody","454",".73%"
"At Large (Escapees & Walk-Aways)","34",".06%"
"Off-Grounds Medical (Hospital)","18",".03%"
"INMATE TOTAL","25,942","41.97%"
"PAROLEES","6,758","10.93%"
"PROBATIONERS","29,108","47.09%"
"PAROLEE AND PROBATIONER TOTAL","35,866","58.03%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","61,808","100.00%"
