"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","21,168","40.74%"
"Community Corrections (ERS, ISP, Medical Release)","3,265","6.28%"
"Other Custody","298","0.57%"
"At Large (Escapees & Walk-Aways)","131","0.25%"
"Off-Grounds Medical (Hospital)","9","0.02%"
"INMATE TOTAL","24,871","47.86%"
"PAROLEES","2,452","4.72%"
"PROBATIONERS","24,639","47.42%"
"PAROLEE AND PROBATIONER TOTAL","27,091","52.14%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,962","100.00%"
