"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,291","13.44%"
"Central Mississippi Correctional Facility","3,557","2,691","10.99%"
"South Mississippi Correctional Institution","3,282","3,193","13.04%"
"Youthful Offender Facility","42","37","0.15%"
"County Jails - Approved*","1,973","1,343","5.48%"
"County Jails - Unapproved**","0","164","0.67%"
"Community Work Centers","1,870","1,119","4.57%"
"Transitional Housing","","3","0.01%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,372","11,841","48.34%"
"Alcorn County Correctional Facility","300","298","1.22%"
"Bolivar County Correctional Facility","369","367","1.50%"
"Carroll County Correctional Facility","280","279","1.14%"
"Chickasaw County Correctional Facility","300","297","1.21%"
"George County Correctional Facility","280","278","1.14%"
"Holmes County Correctional Facility","276","275","1.12%"
"Issaquena County Correctional Facility","274","274","1.12%"
"Jefferson County Correctional Facility","280","280","1.14%"
"Kemper County Correctional Facility","355","349","1.43%"
"Leake County Correctional Facility","280","278","1.14%"
"Marion County Correctional Facility","280","280","1.14%"
"Stone County Correctional Facility","280","280","1.14%"
"Washington County Correctional Facility","300","271","1.11%"
"Winston County Correctional Facility","280","287","1.17%"
"Yazoo County Correctional Facility","300","299","1.22%"
"TOTAL REGIONAL FACILITIES","4,434","4,392","17.93%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,198","4.89%"
"Marshall County Correctional Facility","1,000","1,001","4.09%"
"Walnut Grove Correctional Facility","1,500","1,236","5.05%"
"Wilkinson County Correctional Facility","1,000","864","3.53%"
"TOTAL PRIVATE PRISONS","5,972","4,299","17.55%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","115",".47%"
"Court Order","0","285","1.16%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,800","20,944","85.52%"
"Intensive Supervision Program","0","1,547","6.32%"
"Earned Release Supervision Program","","1,431","5.84%"
"Medical Release","","25","0.10%"
"TOTAL COMMUNITY CORRECTIONS","","3,003","12.26%"
"Other Custody","","488","1.99%"
"Off-Grounds Medical (Hospital)","0000","25",".10%"
"At Large (Escapees & Walk-Aways)","","31",".13%"
"TOTAL","25,800","24,491","00
100.00%"
