"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,768","5,316","36.69%",""
"Central Mississippi Correctional Facility","3,233","3,150","21.74%",""
"South Mississippi Correctional Institution","2,214","2,173","15.00%",""
"County Jails - Approved*","2,224","1,870","12.91%",""
"County Jails - Unapproved**","0","259","1.79%",""
"Community Work Centers","1816","1,720","11.87%",""
"","15,255","14,488","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","248","9.04%",""
"Carroll County Correctional Facility","250","249","9.08%",""
"GeorgeCounty Correctional Facility","250","246","8.97%",""
"Holmes County Correctional Facility","250","250","9.12%",""
"Issaquena County Correctional Facility","250","250","9.12%",""
"Jefferson County Correctional Facility","250","251","9.15%",""
"Kemper County Correctional Facility","250","251","9.15%",""
"Leake Correctional Facility","250","250","9.12%",""
"Marion County Correctional Facility","250","251","9.15%",""
"Stone County Correctional Facility","250","249","9.08%",""
"Winston County Correctional Facility","250","247","9.01%",""
"","2,750","2,742","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility (reopened 04-01-04)","950","482","12.34%",""
"East MS Correctional Facility","1,000","724","18.54%",""
"Marshall County Correctional Facility","1,000","993","25.42%",""
"Walnut Grove Correctional Facility","750","710","18.18%",""
"Wilkinson County Correctional Facility","1,000","997","25.52%",""
"","4,700","3,906","100.00%","Private Prisons"
"Community Trusties","30","22","0.09%",""
"Emergency Suspension","","","0.00%",""
"Court Order","00","00","0.00%",""
"TOTAL CAPACITY & CUSTODY POPULATION","22,735","21,158","88.13%",""
"Intensive Supervision Program","","1,265","5.27%",""
"Earned Release Supervision Program","","1,315","5.48%",""
"Medical Release","000 00","0","0.00%",""
"","","2,580","10.75%","Community Corrections"
"Other Custody","","226","0.94%",""
"University of MS Medical Center","0","0","0.00%",""
"At Large (Escapees & Walk-Aways)","0","45","0.19%",""
"TOTAL","22,735","24,009","100.00%",""
