"","","Fact Sheet","","",""
"","","As of August 3, 2020","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","244","141","423","1,217","2,025"
"CMCF","635","644","354","1,375","3,008"
"SMCI","369","336","475","1,281","2,461"
"Youthful Offender Facility","0","2","1","14","17"
"County Jails (approved)","414","202","17","184","817"
"County Jails (unapproved)","260","312","27","150","749"
"Private Prisons","240","224","564","2,497","3,525"
"Regional Correctional Facilities","614","457","843","2,147","4,061"
"Community Work Centers","204","63","0","60","327"
"Community Trusties","0","0","0","0","0"
"Pending File Review","41","50","2","27","120"
"Court Order","51","52","13","45","161"
"Transitional Housing","1","4","0","2","7"
"RRP","17","16","0","5","38"
"TVC","69","14","0","30","113"
"TOTAL CUSTODY POPULATION","3,159","2,517","2,719","9,034","17,429"
"% OF TOTAL OFFENSES","18.12%","14.44%","15.60%","51.83%","100.00%"
"Intensive Supervison Program","296","393","14","96","799"
"Earned Release Supervision","21","29","5","514","569"
"Medical Release","8","1","0","10","19"
"Other Custody","164","160","27","114","465"
"At Large","6","12","0","7","25"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","1","1","3","5","10"
"TOTAL","3,657","3,116","2,769","9,784","19,325"
"% OF TOTAL OFFENSES","18.92%","16.12%","14.33%","50.63%","100.01%"
