"","Fact Sheet","",""
"","","As of June 1 , 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","115",".58%"
"TVC","0","96",".49%"
"Transitional Housing","0","10",".05%"
"Court Order","0","172",".87%"
"RRP","0","55",".28%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","17,710","89.93%"
"Intensive Supervision Program","0","887","4.50%"
"Conditional Release","0","3","0.02%"
"Earned Release Supervision Program","0","558","2.83%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","1,471","7.47%"
"Other Custody","0","475","2.41%"
"Off-Grounds Medical (Hospital)","0","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,225","19,692","100.00%"
