"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,827","44.16%"
"Community Corrections (ERS, ISP, Medical Release)","3,003","5.81%"
"Other Custody","306","0.59%"
"At Large (Escapees & Walk-Aways)","61","0.12%"
"Off-Grounds Medical (Hospital)","11","0.02%"
"INMATE TOTAL","26,208","50.70%"
"PAROLEES","2,637","5.10%"
"PROBATIONERS","22,844","44.20%"
"PAROLEE AND PROBATIONER TOTAL","25,481","49.30%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51,689","100.00%"
