"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,253","38.45%"
"Community Corrections (ERS, ISP, Medical Release)","2,991","5.41%"
"Other Custody","351","0.64%"
"At Large (Escapees & Walk-Aways)","43","0.08%"
"Off-Grounds Medical (Hospital)","8","0.01%"
"INMATE TOTAL","24,646","44.59%"
"PAROLEES","6,081","11.00%"
"PROBATIONERS","24,547","44.41%"
"PAROLEE AND PROBATIONER TOTAL","30,628","55.41%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,274","100.00%"
