"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,144","38.06%"
"Community Corrections (ERS, ISP, Medical Release)","3,014","5.42%"
"Other Custody","353",".64%"
"At Large (Escapees & Walk-Aways)","42",".08%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","24,564","44.21%"
"PAROLEES","6,308","11.35%"
"PROBATIONERS","24,689","44.44%"
"PAROLEE AND PROBATIONER TOTAL","30,997","55.79%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,561","100.00%"
