"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,092","","0","943","","0","22","","0","4","","0","4","","0","1","0","","3,066"
"CMCF","890","","369","481","","425","10","","3","2","","2","3","","1","0","0","","2,186"
"SMCI","1,733","","0","941","","0","33","","0","1","","0","6","","0","0","0","","2,714"
"County Jails (approved)","732","","28","410","","44","8","","0","1","","0","1","","1","0","0","","1,225"
"County Jails (unapproved)","46","","4","31","","8","0","","1","0","","0","1","","0","1","0","","92"
"Youthful Offender Facility","27","","0","5","","0","0","","0","0","","0","0","","0","0","0","","32"
"Private Prisons","3,164","","0","1,090","","0","38","","0","8","","0","9","","0","0","0","","4,309"
"Regional Correctional Facilities","2,727","","132","1,218","","144","36","","3","3","","0","7","","0","0","0","","4,270"
"Community Work Centers","575","","50","314","","121","0","","1","2","","0","2","","0","1","0","","1,066"
"Transitional Housing","1","","0","1","","0","0","","0","0","","0","0","","0","0","0","","2"
"TVC","1","","0","1","","0","0","","0","0","","0","0","","0","0","0","","2"
"Community Trusties","4","","0","1","","0","0","","0","0","","0","0","","0","0","0","","5"
"Pending File Review","102","","12","75","","10","0","","0","0","","0","1","","0","0","0","","200"
"Court Order","135","","5","73","","13","0","","1","0","","0","2","","0","0","0","","229"
"","12,229","","600","5,584","","765","147","","9","21","","2","36","","2","3","0","","19,398"
"Intensive Supervison Program","571","","164","443","","231","5","","5","0","","2","2","","0","1","1","","1,425"
"Earned Release Supervision","811","","69","260","","58","4","","0","3","","0","1","","0","0","0","","1,206"
"Medical Release","11","","0","7","","2","0","","0","0","","0","0","","0","0","0","","20"
"Other Custody","230","","12","179","","20","49","","6","1","","1","3","","0","3","0","","504"
"At Large","16","","0","7","","2","3","","0","0","","0","0","","0","0","0","","28"
"Off-Grounds Medical (Hospital)","2","","0","3","","0","0","","0","0","","0","0","","0","0","0","","5"
"TOTAL","13,870","","845","6,483","","1,078","208","","20","25","","5","42","","2","7","1","","22,586"
"% OF TOTAL OFFENDERS","61.41%","","3.74%","28.70%","","4.77%",".92%","",".09%",".11%","",".02%",".19%","",".01%",".03%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","621","","565","","","175","","","1,203","","","502","","","","3,066",""
"CMCF","","","544","","574","","","107","","","702","","","259","","","","2,186",""
"SMCI","","","479","","646","","","136","","","957","","","496","","","","2,714",""
"County Jails (approved)","","","648","","399","","","30","","","91","","","57","","","","1,225",""
"Youthful Offender Facility","","","","","3","","","6","","","18","","","4","","","","32",""
"County Jails (unapproved)","","","8","","43","","","6","","","11","","","4","","","","92",""
"Private Prisons","","","522","","716","","","269","","","2,103","","","699","","","","4,309",""
"Regional Correctional Facilities","","","738","","826","","","367","","","1,472","","","867","","","","4,270",""
"Community Work Centers","","","669","","390","","","0","","","7","","","0","","","","1,066",""
"Community Trusties","","","5","","0","","","0","","","0","","","0","","","","5",""
"Transitional Housing","","","1","","1","","","0","","","0","","","0","","","","2",""
"TVC","","","","","1","","","1","","","0","","","0","","","","2",""
"Pending File Review","","","9","","89","","","4","","","17","","","1","","","","200",""
"Court Order","","","89","","74","","","12","","","42","","","12","","","","229",""
"TOTAL CUSTODY POPULATION","","","4,434","","4,327","","","1,113","","","6,623","","","2,901","","","","19,398",""
"% OF TOTAL OFFENSES","","","22.86%","","22.31%","","","5.74%","","","34.14%","","","14.96%","","","","100.00%",""
"Intensive Supervison Program","","","616","","753","","","15","","","37","","","4","","","","1,425",""
"Earned Release Supervision","","","345","","285","","","173","","","398","","","5","","","","1,206",""
"Medical Release","","","11","","7","","","0","","","2","","","","","","","20",""
"Other Custody","","","182","","195","","","16","","","83","","","8","","","","504",""
"At Large","","","","","5","","","0","","","7","","","0","","","","28",""
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","0","","","3","","","","5",""
"TOTAL","","","5,594","","5,584","","","1,317","","","7,150","","","2,941","","","","22,586",""
"% OF TOTAL OFFENSES","","","24.77%","","24.72%","","","5.83%","","","31.66%","","","13.02%","","","","100.00%","1 2
0 8
6 0
21
0 2"
