"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,215","26.22%"
"Central Mississippi Correctional Facility","3,449","3,118","25.43%"
"South Mississippi Correctional Institution","3,204","3,169","25.84%"
"County Jails - Approved*","1,543","1,121","9.14%"
"County Jails - Unapproved**","0","210","1.71%"
"Community Work Centers","1,848","1,429","11.65%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,479","12,262","100.00%"
"Bolivar County Correctional Facility","294","231","7.71%"
"Carroll County Correctional Facility","280","224","7.48%"
"Chickasaw County Correctional Facility","300","235","7.85%"
"George County Correctional Facility","280","225","7.51%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","220","7.35%"
"Jefferson County Correctional Facility","280","223","7.45%"
"Kemper County Correctional Facility","355","283","9.45%"
"Leake County Correctional Facility","280","226","7.55%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","222","7.41%"
"Winston County Correctional Facility","280","224","7.48%"
"Yazoo County Correctional Facility","300","234","7.81%"
"TOTAL REGIONAL FACILITIES","3,763","2,995","100.00%"
"Delta Correctional Facility","972","902","17.32%"
"East MS Correctional Facility","1,500","1,357","26.05%"
"Marshall County Correctional Facility","1,000","921","17.68%"
"Walnut Grove Correctional Facility","1,500","1,142","21.92%"
"Wilkinson County Correctional Facility","1,000","887","17.03%"
"TOTAL PRIVATE PRISONS","5,972","5,209","100.00%"
"Community Trusties","22","15",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","98",".40%"
"Court Order","0","318","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,236","20,897","85.41%"
"Intensive Supervision Program","0","1,648","6.74%"
"Earned Release Supervision Program","00","1,459","5.96%"
"Medical Release","","42",".17%"
"TOTAL COMMUNITY CORRECTIONS","00","3,149","12.87%"
"Other Custody","","375","1.53%"
"Off-Grounds Medical (Hospital)","","",".03%"
"At Large (Escapees & Walk-Aways)","00","83
9",".16%"
"TOTAL","24,236","24,468","100.00%"
