"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,356","3,222","26.00%"
"Central Mississippi Correctional Facility","3,449","3,213","25.92%"
"South Mississippi Correctional Institution","3,204","3,158","25.48%"
"County Jails - Approved*","1,608","1,192","9.62%"
"County Jails - Unapproved**","0","204","1.65%"
"Community Work Centers","1,848","1,405","11.34%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,465","12,394","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","294","232","7.68%"
"Carroll County Correctional Facility","280","225","7.45%"
"Chickasaw County Correctional Facility","300","248","8.21%"
"George County Correctional Facility","280","222","7.35%"
"Holmes County Correctional Facility","280","224","7.41%"
"Issaquena County Correctional Facility","274","219","7.25%"
"Jefferson County Correctional Facility","280","223","7.38%"
"Kemper County Correctional Facility","355","283","9.37%"
"Leake County Correctional Facility","280","224","7.41%"
"Marion County Correctional Facility","280","224","7.41%"
"Stone County Correctional Facility","280","223","7.38%"
"Winston County Correctional Facility","280","225","7.45%"
"Yazoo County Correctional Facility","300","249","8.24%"
"TOTAL REGIONAL FACILITIES","3,763","3,021","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","972","903","17.53%"
"East MS Correctional Facility","1,500","1,336","25.94%"
"Marshall County Correctional Facility","1,000","922","17.90%"
"Walnut Grove Correctional Facility","1,500","1,105","21.45%"
"Wilkinson County Correctional Facility","1,000","885","17.18%"
"TOTAL PRIVATE PRISONS","5,972","5,151","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","172",".70%"
"Court Order","0","291","1.18%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,222","21,042","85.46%"
"Intensive Supervision Program","0","1,637","6.65%"
"Earned Release Supervision Program","","1,467","5.96%"
"Medical Release","00","40",".16%"
"TOTAL COMMUNITY CORRECTIONS","00","3,144","12.77%"
"Other Custody","","389","1.58%"
"Off-Grounds Medical (Hospital)","","93",".04%"
"At Large (Escapees & Walk-Aways)","00","8",".15%"
"TOTAL","23,222","24,622","100.00%"
