"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female",""
"MSP","2,296","","0","1,043","","0","12","","0","0","","0","3","","0","0","0","3,354"
"CMCF","1,455","","444","812","","517","20","","4","4","","2","4","","0","2","0","3,264"
"SMCI","2,118","","0","1,041","","0","43","","0","5","","0","9","","0","1","0","3,217"
"Youthful Offender Facility","18","","0","3","","0","1","","0","0","","0","0","","0","0","0","22"
"County Jails (approved)","859","","37","513","","50","4","","1","2","","0","6","","0","1","1","1,474"
"County Jails (unapproved)","170","","19","84","","14","1","","1","1","","0","7","","0","1","0","298"
"Private Prisons","3,214","","0","1,027","","0","26","","0","2","","0","4","","0","0","0","4,273"
"Regional Correctional Facilities","2,732","","141","1,254","","158","40","","2","2","","1","8","","0","0","0","4,338"
"Community Work Centers","783","","70","440","","154","2","","0","1","","0","1","","0","1","0","1,452"
"Community Trusties","11","","0","3","","0","0","","0","0","","0","0","","0","0","0","14"
"Pending File Review","14","","4","19","","10","1","","0","0","","0","0","","0","0","0","48"
"Court Order","230","","14","147","","29","0","","1","0","","0","1","","0","0","0","422"
"","13,900","","729","6,386","","932","150","","9","17","","3","43","","0","6","1","22,176"
"Intensive Supervison Program","623","","158","530","","273","6","","1","3","","0","4","","2","5","0","1,605"
"Earned Release Supervision","968","","83","430","","79","3","","0","1","","0","3","","0","0","0","1,567"
"Medical Release","17","","1","6","","2","0","","0","0","","0","0","","0","0","0","26"
"Other Custody","214","","11","160","","25","45","","5","0","","1","2","","0","4","0","467"
"At Large","21","","0","8","","2","3","","0","0","","0","0","","0","0","0","34"
"Off-Grounds Medical (Hospital)","6","","1","2","","1","0","","0","0","","0","0","","0","0","0","10"
"TOTAL","15,749","","983","7,522","","1,314","207","","15","21","","4","52","","2","15","1","25,885"
"% OF TOTAL OFFENDERS","60.84%","","3.80%","29.06%","","5.08%",".80%","",".06%",".08%","",".02%",".20%","",".01%",".06%",".00%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL"
"MSP","","","765","","771","","","122","","","1,067","","","462","","","","3,187"
"CMCF","","","899","","1,110","","","161","","","784","","","344","","","","3,298"
"SMCI","","","723","","812","","","191","","","1,006","","","516","","","","3,248"
"Youthful Offender Facility","","","0","","4","","","1","","","13","","","5","","","","23"
"County Jails (approved)","","","767","","632","","","17","","","52","","","7","","","","1,505"
"County Jails (unapproved)","","","83","","136","","","5","","","21","","","","","","","254"
"Private Prisons","","","482","","880","","","268","","","2,089","","","624","","","","4,343"
"Regional Correctional Facilities","","","960","","1,117","","","302","","","1,180","","","790","","","","4,349"
"Community Work Centers","","","904","","568","","","0","","","4","","","0","","","","1,476"
"Community Trusties","","","7 2","","3 2","","","0","","","0","","","0","","","","10"
"Pending File Review","","","1","","3","","","4","","","11","","","4","","","","63"
"Court Order","","","149","","183","","","10","","","57","","","23","","","","422"
"TOTAL CUSTODY POPULATION","","","5,760","","6,239","","","1,081","","","6,284","","","2,814","","","","22,178"
"% OF TOTAL OFFENSES","","","25.97%","","28.13%","","","4.87%","","","28.33%","","","12.69%","","","","100.00%"
"Intensive Supervison Program","","","794","","789","","","18","","","49","","","7","","","","1,657"
"Earned Release Supervision","","","507","","513","","","186","","","392","","","4","","","","1,602"
"Medical Release","","","12","","8","","","2","","","6","","","","","","","28"
"Other Custody","","","193","","167","","","13","","","66","","","9","","","","458"
"At Large","","","","","0","","","0","","","7","","","","","","","34"
"Off-Grounds Medical (Hospital)","","","","","","","","0","","","3","","","","","","","11"
"TOTAL","","","7,274","","7,743","","","1,300","","","6,807","","","2,844","","","","25,968"
"% OF TOTAL OFFENSES","","","28.01%","","29.82%","","","5.01%","","","26.21%","","","10.95%","","","","7 1
72
93
0 1
0 0
100.00%"
