"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,243","25.96%"
"Central Mississippi Correctional Facility","3,665","2,964","23.73%"
"South Mississippi Correctional Institution","3,256","3,146","25.19%"
"County Jails - Approved*","1,668","1,377","11.02%"
"County Jails - Unapproved**","0","415","3.32%"
"Community Work Centers","1,848","1,345","10.77%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,085","12,490","100.00%"
"Alcorn County Correctional Facility","300","293","6.87%"
"Bolivar County Correctional Facility","294","293","6.87%"
"Carroll County Correctional Facility","280","280","6.57%"
"Chickasaw County Correctional Facility","300","296","6.94%"
"George County Correctional Facility","280","278","6.52%"
"Holmes County Correctional Facility","280","279","6.54%"
"Issaquena County Correctional Facility","274","274","6.43%"
"Jefferson County Correctional Facility","280","280","6.57%"
"Kemper County Correctional Facility","355","340","7.97%"
"Leake County Correctional Facility","280","283","6.64%"
"Marion County Correctional Facility","280","278","6.52%"
"Stone County Correctional Facility","280","280","6.57%"
"Washington County Correctional Facility","300","232","5.44%"
"Winston County Correctional Facility","280","280","6.57%"
"Yazoo County Correctional Facility","300","298","6.99%"
"TOTAL REGIONAL FACILITIES","4,363","4,264","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,314","31.56%"
"Marshall County Correctional Facility","1,000","998","23.97%"
"Walnut Grove Correctional Facility","1,500","969","23.28%"
"Wilkinson County Correctional Facility","1,000","882","21.19%"
"TOTAL PRIVATE PRISONS","5,972","4,163","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","","131",".52%"
"Court Order","00","347","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,442","21,408","85.00%"
"Intensive Supervision Program","0","1,632","6.48%"
"Earned Release Supervision Program","","1,640","6.51%"
"Medical Release","00","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3,294","13.08%"
"Other Custody","0","430","1.71%"
"Off-Grounds Medical (Hospital)","0","17",".07%"
"At Large (Escapees & Walk-Aways)","0","38",".15%"
"TOTAL","25,442","25,187","100.00%"
