"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","19,496","34.46%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing)","1,463","2.59%"
"Other Custody","529",".93%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","7",".01%"
"INMATE TOTAL","21,521","38.03%"
"PAROLEES","7,143","12.62%"
"TVC Parole","169","0.30%"
"PROBATIONERS","27,609","48.79%"
"TVC Probation","141","0.25%"
"PAROLEE AND PROBATIONER TOTAL","35,062","61.97%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","56,583","100.00%"
