"","Fact Sheet","",""
"","","As of August 3, 2020",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","120",".43%"
"TVC","0","113",".40%"
"Transitional Housing","0","7",".02%"
"Court Order","0","161",".57%"
"RRP","0","38",".14%"
"TOTAL CAPACITY & CUSTODY POPULATION","30,482","26,240","93.26%"
"Intensive Supervision Program","0","799","2.84%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","569","2.02%"
"Failure to Register-Monitoring","0","6","0.02%"
"Medical Release","0","19","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,396","4.96%"
"Other Custody","0","465","1.65%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","25","0.09%"
"TOTAL","30,482","28,136","100.00%"
