"","","Fact Sheet","","",""
"","","As of July 1 , 2020","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","236","142","433","1,216","2,027"
"CMCF","642","689","353","1,383","3,067"
"SMCI","381","338","470","1,301","2,490"
"Youthful Offender Facility","0","2","0","17","19"
"County Jails (approved)","374","170","15","158","717"
"County Jails (unapproved)","212","275","25","156","668"
"Private Prisons","247","234","564","2,518","3,563"
"Regional Correctional Facilities","626","476","865","2,191","4,158"
"Community Work Centers","225","77","0","71","373"
"Community Trusties","0","0","0","0","0"
"Pending File Review","37","47","0","23","107"
"Court Order","53","56","12","43","164"
"Transitional Housing","1","4","0","2","7"
"RRP","20","18","0","8","46"
"TVC","93","24","0","23","140"
"TOTAL CUSTODY POPULATION","3,147","2,552","2,737","9,110","17,546"
"% OF TOTAL OFFENSES","17.94%","14.54%","15.60%","51.92%","100.00%"
"Intensive Supervison Program","316","413","15","100","844"
"Earned Release Supervision","21","30","5","487","543"
"Medical Release","8","1","0","10","19"
"Other Custody","168","160","27","115","470"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","0","3","5","1","9"
"TOTAL","3,668","3,173","2,790","9,834","19,465"
"% OF TOTAL OFFENSES","18.85%","16.30%","14.33%","50.52%","100.00%"
