"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,967","47.21%",""
"Community Corrections (ERS, ISP, Medical Release)","2,505","5.64%",""
"Other Custody","220","0.50%",""
"At Large (Escapees & Walk-Aways)","46","0.10%",""
"University of MS Medical Center","0","0.00%",""
"","23,738","53.44%","Inmate Total"
"PAROLEES","1,934","4.35%",""
"PROBATIONERS","18,744","42.20%",""
"","20,678","46.56%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","44,416","100.00%",""
