"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","18,905","48.52%",""
"Community Corrections (ERS, ISP, Medical Release)","2,344","6.02%",""
"Other Custody","204","0.52%",""
"At Large (Escapees & Walk-Aways)","79","0.20%",""
"University of MS Medical Center","9","0.02%",""
"","21,541","55.29%","Inmate Total"
"PAROLEES","1,691","4.34%",""
"PROBATIONERS","15,729","40.37%",""
"","17,420","44.71%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","38,961","100.00%",""
