"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,774","","67.50%","","","","734","","","42.62%","","","","13,508","","","","65.42%"
"White
5,886","","31.10%","","","","960","","","55.75%","","","","6,846","","","","33.16%"
"Hispanic
195","","1.03%","","","","18","","","1.05%","","","","213","","","","1.03%"
"Native American
27","",".14%","","","","","","",".35%","","","","33","","","",".16%"
"Asian
37","",".20%","","","","","","",".17%","","","","40","","","",".19%"
"Data Unavailable
6","",".03%","","","","1","","",".06%","","","","7","","","",".03%"
"TOTAL
18,925","","100.00%","","","","1,722","","","100.00%","","","","20,647","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,118","","0","970","0","","20","0","","1","0","6","","0","1","0","3,116"
"CMCF","880","","363","490","441","","19","4","","5","2","1","","1","1","0","2,207"
"SMCI","1,651","","0","845","0","","33","0","","1","0","5","","0","1","0","2,536"
"County Jails (approved)","422","","24","210","33","","5","1","","0","0","0","","1","0","0","696"
"County Jails (unapproved)","137","","7","70","14","","1","0","","0","0","1","","0","0","0","230"
"Youthful Offender Facility","17","","0","3","0","","1","0","","0","0","0","","0","0","0","21"
"Private Prisons","2,811","","0","927","0","","20","0","","8","0","9","","0","0","0","3,775"
"Regional Correctional Facilities","2,757","","96","1,253","107","","35","1","","4","0","11","","0","1","0","4,265"
"Community Work Centers","584","","64","344","124","","0","2","","3","0","1","","0","2","0","1,124"
"Community Trusties","10","","0","3","0","","0","0","","0","0","0","","0","0","0","13"
"Pending File Review","60","","2","35","6","","0","0","","0","0","1","","0","1","0","105"
"Court Order","129","","3","73","12","","0","0","","0","0","0","","0","0","0","217"
"","11,576","","559","5,223","737","","134","8","","22","2","35","","2","7","0","18,305"
"Intensive Supervison Program","361","","111","293","155","","2","1","","0","1","4","","0","1","1","930"
"Earned Release Supervision","561","","49","176","34","","3","1","","0","0","2","","0","0","0","826"
"Medical Release","9","","0","5","2","","0","0","","0","0","0","","0","0","0","16"
"Other Custody","245","","15","182","29","","52","6","","1","1","4","","0","3","0","538"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","0","27"
"Off-Grounds Medical (Hospital)","4","","0","0","0","","0","0","","1","0","0","","0","0","0","5"
"TOTAL","12,772","","734","5,885","959","","194","16","","24","4","45","","2","11","1","20,647"
"% OF TOTAL OFFENDERS","61.86%","","3.55%","28.50%","4.64%","",".94%",".08%","",".12%",".02%",".22%","",".01%",".05%",".00%","6 3
100.00%"
