"BY LOCATION","","","",""
"","","NO. OF","% OF TOTAL",""
"","CAPACITY","OFFENDERS","OFFENDERS",""
"Mississippi State Penitentiary","5,768","5,708","40.86%",""
"Central Mississippi Correctional Facility","3,233","3,098","22.18%",""
"South Mississippi Correctional Institution","2,214","2,048","14.66%",""
"County Jails - Approved*","2,176","1,494","10.70%",""
"County Jails - Unapproved**","0","62","0.44%",""
"Community Work Centers","1816","1,558","11.15%",""
"","15,207","13,968","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","248","9.02%",""
"Carroll County Correctional Facility","250","252","9.16%",""
"GeorgeCounty Correctional Facility","250","239","8.69%",""
"Holmes County Correctional Facility","250","250","9.09%",""
"Issaquena County Correctional Facility","250","252","9.16%",""
"Jefferson County Correctional Facility","250","254","9.24%",""
"Kemper County Correctional Facility","250","250","9.09%",""
"Leake Correctional Facility","250","250","9.09%",""
"Marion County Correctional Facility","250","255","9.27%",""
"Stone County Correctional Facility","250","252","9.16%",""
"Winston County Correctional Facility","250","248","9.02%",""
"","2,750","2,750","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","728","21.18%",""
"Marshall County Correctional Facility","1,000","995","28.94%",""
"Walnut Grove Correctional Facility","750","751","21.84%",""
"Wilkinson County Correctional Facility","1,000","964","28.04%",""
"","3,750","3,438","100.00%","Private Prisons"
"Community Trusties","30","22","0.09%",""
"Emergency Suspension","","1","0.00%",""
"Court Order","00","373","1.58%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,551","87.28%",""
"Intensive Supervision Program","","1,372","5.83%",""
"Earned Release Supervision Program","","1,240","5.27%",""
"Medical Release","000 00","0","0.00%",""
"","","2,612","11.09%","Community Corrections"
"Other Custody","","230","0.98%",""
"University of MS Medical Center","0","0","0.00%",""
"At Large (Escapees & Walk-Aways)","0","153","0.65%",""
"TOTAL","21,737","23,546","100.00%",""
