"BY OFFENSE AND LOCATION","","","",""
"","DRUG","PROPERTY","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","1,201","1,469","2,443","5,113"
"CMCF","1,011","1,085","894","2,990"
"SMCI","572","702","694","1,968"
"County Jails (approved)","524","576","243","1,343"
"County Jails (unapproved)","52","51","29","132"
"Private Prisons","788","725","1,727","3,240"
"Regional Correctional Facilities","728","534","747","2,009"
"Community Work Centers","571","660","48","1,279"
"Community Trusties","3","4","5","12"
"","5,450","5,806","6,830","18,086 CUSTODY POPULATION"
"Intensive Supervison Program","331","848","36","1,215"
"Earned Release Supervision","318","464","105","887"
"Medical Release","0","1","1","2"
"Other Custody & At Large","72","120","74","266"
"TOTAL","6,171","7,239","7,046","20,456"
"% of Total Offenses","30.17%","35.39%","34.44%","100.00%"
