"As of March 2 , 2020","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","18,796","33.87%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,476","2.66%"
"Other Custody","479",".86%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","17",".03%"
"INMATE TOTAL","20,792","37.47%"
"PAROLEES","9,225","16.62%"
"TVC Parole","144","0.26%"
"PROBATIONERS","25,241","45.48%"
"TVC Probation","92","0.17%"
"PAROLEE AND PROBATIONER TOTAL","34,702","62.53%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,494","100.00%"
