"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,261","26.02%"
"Central Mississippi Correctional Facility","3,449","3,219","25.68%"
"South Mississippi Correctional Institution","3,204","3,175","25.33%"
"County Jails - Approved*","1,543","1,155","9.22%"
"County Jails - Unapproved**","0","207","1.65%"
"Community Work Centers","1,848","1,516","12.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,479","12,533","100.00%"
"Bolivar County Correctional Facility","294","235","7.85%"
"Carroll County Correctional Facility","280","223","7.45%"
"Chickasaw County Correctional Facility","300","233","7.78%"
"George County Correctional Facility","280","223","7.45%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","219","7.31%"
"Jefferson County Correctional Facility","280","223","7.45%"
"Kemper County Correctional Facility","355","283","9.45%"
"Leake County Correctional Facility","280","227","7.58%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","224","7.48%"
"Winston County Correctional Facility","280","224","7.48%"
"Yazoo County Correctional Facility","300","233","7.78%"
"TOTAL REGIONAL FACILITIES","3,763","2,995","100.00%"
"Delta Correctional Facility","972","900","17.20%"
"East MS Correctional Facility","1,500","1,355","25.89%"
"Marshall County Correctional Facility","1,000","896","17.12%"
"Walnut Grove Correctional Facility","1,500","1,197","22.87%"
"Wilkinson County Correctional Facility","1,000","885","16.91%"
"TOTAL PRIVATE PRISONS","5,972","5,233","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","00","134",".54%"
"Court Order","","249","1.01%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,236","21,157","85.59%"
"Intensive Supervision Program","0","1,652","6.68%"
"Earned Release Supervision Program","00","1,447","5.85%"
"Medical Release","","43",".17%"
"TOTAL COMMUNITY CORRECTIONS","00","3,142","12.71%"
"Other Custody","","371","1.50%"
"Off-Grounds Medical (Hospital)","","93",".04%"
"At Large (Escapees & Walk-Aways)","00","9",".16%"
"TOTAL","24,236","24,718","100.00%"
