"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of September 4, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","5",".02%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","164",".78%"
"TVC","0","44",".21%"
"Transitional Housing","0","23","0.1%"
"Court Order","0","226","1.07%"
"RRP","0","98",".46%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,234","91.25%"
"Intensive Supervision Program","0","749","3.55%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","588","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,361","6.46%"
"Other Custody","","445","2.11%"
"Off-Grounds Medical (Hospital)","00","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,881","21,078","100.00%"
