"Fact Sheet","",""
"As of September 4, 2018","",""
"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,234","36.03%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,361","2.55%"
"Other Custody","445",".83%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","21,078","39.48%"
"PAROLEES","8,720","16.33%"
"TVC Parole","288","0.54%"
"PROBATIONERS","23,166","43.40%"
"TVC Probation","131","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32,305","60.52%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,383","100.00%"
