"TOTAL
19,156","","100.00%","","1,708","","","100.00%","20,864","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","",""
"","","Black","White","","Hispanic","","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","","Male","Female","Male
Female","Male
Female","Male
Female"
"MSP","2,179","0","1,079
0","","16","0","3
0","5
0","1
0
3,283"
"CMCF","1,413","339","890
538","","21","8","4
1","7
1","0
1
3,223"
"SMCI","1,977","0","948
0","","24","0","1
0","6
0","0
0
2,956"
"County Jails (approved)","400","5","306
26","","6","0","1
0","2
0","1
0
747"
"County Jails (unapproved)","168","4","108
10","","3","0","0
0","1
0","1
0
295"
"Youthful Offender Facility","32","0","2
0","","1","0","0
0","0
0","0
0
35"
"Private Prisons","2,220","0","812
0","","20","0","8
0","1
0","0
0
3,061"
"Regional Correctional Facilities","2,592","109","1,265
111","","51","4","7
1","13
0","0
0
4,153"
"Community Work Centers","394","36","229
117","","3","3","2
0","4
0","1
0
789"
"Community Trusties","29","0","12
0","","0","0","0
0","1
0","0
0
42"
"TVC","0","9","0
8","","0","0","0
0","0
0","0
0
17"
"Pending File Review","55","1","34
12","","1","0","0
0","1
0","0
0
104"
"Court Order","132","7","74
14","","0","0","0
0","0
0","0
0
227"
"","11,591","510","5,759
836","","146","15","26
2","41
1","4
1
18,932"
"Intensive Supervison Program","277","95","239
116","","2","1","1
0","3
1","1
1
737"
"Earned Release Supervision","385","47","125
38","","4","0","0
0","1
0","0
0
600"
"Medical Release","7","0","4
2","","0","0","0
0","0
0","0
0
13"
"Other Custody","240","12","202
20","","41","3","0
1","4
0","2
0
525"
"Transitional Housing","1","0","0
0","","0","0","0
0","0
0","0
0
1"
"At Large","17","0","6
2","","3","0","0
0","0
0","0
0
28"
"Conditional Release","0","0","1
1","","0","0","0
0","0
0","0
0
2"
"RRP","13","2","7
0","","0","0","0
0","0
0","0
0
22"
"Off-Grounds Medical (Hospital)","2","0","1
1","","0","0","0
0","0
0","0
0
4"
"TOTAL","12,533","666","6,344
1,016","","196","19","27
3","49
2","7
2
20,864"
"% OF TOTAL OFFENDERS","60.07%","3.19%","30.41%
4.87%","",".94%",".09%",".13%
.01%",".23%
.01%",".03%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","",""
"","","","","","AGGRAVATED","","","",""
"","","DRUG","PROPERTY","","ASSUALT","","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","","OFFENSES","OFFENSES","TOTAL"
"MSP","","552","571","","182","","1,418","560","3,283"
"CMCF","","766","902","","139","","1,102","314","3,223"
"SMCI","","491","577","","188","","1,160","540","2,956"
"County Jails (approved)","","368","242","","17","","109","11","747"
"Youthful Offender Facility","","0","1","","2","","28","4","35"
"County Jails (unapproved)","","93","125","","16","","50","11","295"
"Private Prisons","","265","361","","210","","1,661","564","3,061"
"Regional Correctional Facilities","","677","800","","328","","1,545","803","4,153"
"Community Work Centers","","462","248","","0","","79","0","789"
"Community Trusties","","28","12","","0","","2","0","42"
"Pending File Review","","37","42","","4","","17","4","104"
"Court Order","","67","92","","9","","49","10","227"
"TVC","","7","7","","1","","1","1","17"
"TOTAL CUSTODY POPULATION","","3,813","3,980","","1,096","","7,221","2,822","18,932"
"% OF TOTAL OFFENSES","","20.14%","21.02%","","5.79%","","38.14%","14.91%","100.00%"
"Intensive Supervison Program","","306","355","","13","","58","5","737"
"Earned Release Supervision","","144","41","","120","","290","5","600"
"Medical Release","","6","5","","0","","2","0","13"
"Other Custody","","174","219","","15","","94","23","525"
"At Large","","","15","","0","","6","0","28"
"Transitional Housing","","","1","","0","","0","0",""
"Conditional Release","","7 0 0 3 0","0","","0","","2","0",""
"RRP","","","13","","0","","6","0","22"
"Off-Grounds Medical (Hospital)","","","2","","0","","2","0","4"
"TOTAL","","4,453","4,631","","1,244","","7,681","2,855","20,864"
"% OF TOTAL OFFENSES","","21.34%","22.20%","","5.96%","","36.82%","13.68%","21
100.00%"
