"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","20,219","48.09%",""
"Community Corrections (ERS, ISP, Medical Release)","2,635","6.27%",""
"Other Custody","225","0.54%",""
"At Large (Escapees & Walk-Aways)","101","0.24%",""
"University of MS Medical Center","8","0.02%",""
"","23,188","55.15%","Inmate Total"
"PAROLEES","1,745","4.15%",""
"PROBATIONERS","17,111","40.70%",""
"","18,856","44.85%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","42,044","100.00%",""
