"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,426","","64.79%","","","","652","","","37.91%","","","","13,078","","","","62.58%"
"White
6,474","","33.76%","","","","1,045","","","60.76%","","","","7,519","","","","35.98%"
"Hispanic
192","","1.00%","","","","15","","",".87%","","","","207","","","",".99%"
"Native American
29","",".15%","","","","4","","",".23%","","","","33","","","",".16%"
"Asian
45","",".23%","","","","2","","",".12%","","","","47","","","",".22%"
"Data Unavailable
12","",".06%","","","","2","","",".12%","","","","14","","","",".07%"
"TOTAL
19,178","","100.00%","","","","1,720","","","100.00%","","","","20,898","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,204","","0","1,133","1","","28","0","","2","0","7","","0","0","0","3,375"
"CMCF","1,494","","366","891","529","","21","8","","6","2","8","","1","0","1","3,327"
"SMCI","2,039","","0","981","0","","28","0","","2","0","4","","0","0","0","3,054"
"County Jails (approved)","355","","3","301","23","","3","0","","1","0","2","","0","1","0","689"
"County Jails (unapproved)","198","","11","145","28","","2","0","","1","1","0","","0","7","0","393"
"Youthful Offender Facility","22","","0","4","0","","1","0","","0","0","0","","0","0","0","27"
"Private Prisons","2,211","","0","818","0","","20","0","","7","0","1","","0","0","0","3,057"
"Regional Correctional Facilities","2,331","","102","1,176","130","","47","1","","6","0","11","","0","0","0","3,804"
"Community Work Centers","380","","36","264","125","","4","4","","2","0","3","","1","0","0","819"
"Community Trusties","33","","0","14","0","","0","0","","0","0","1","","0","0","0","48"
"TVC","0","","1","0","1","","0","0","","0","0","0","","0","0","0","2"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"Pending File Review","64","","5","38","4","","2","0","","0","0","1","","0","0","0","114"
"Court Order","155","","3","96","12","","0","0","","0","0","0","","0","0","0","266"
"","11,487","","527","5,861","853","","156","13","","27","3","38","","2","8","1","18,976"
"Intensive Supervison Program","287","","74","227","126","","4","1","","2","1","2","","1","1","1","727"
"Earned Release Supervision","372","","39","118","34","","2","0","","0","0","0","","0","0","0","565"
"Medical Release","5","","0","4","1","","0","0","","0","0","0","","0","0","0","10"
"Other Custody","217","","12","214","22","","27","1","","0","0","4","","0","1","0","498"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","1","28"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"Failure to Report-Monitoring","2","","0","3","0","","0","0","","0","0","0","","0","0","0","5"
"RRP","33","","1","35","7","","0","0","","0","0","0","","0","0","0","76"
"Off-Grounds Medical (Hospital)","6","","0","5","0","","0","0","","0","0","0","","0","0","0","11"
"TOTAL","12,425","","653","6,474","1,046","","192","15","","29","4","44","","3","10","3","20,898"
"% OF TOTAL OFFENDERS","59.46%","","3.12%","30.98%","5.01%","",".92%",".07%","",".14%",".02%",".21%","",".01%",".05%",".01%","100.00%"
