"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,217","","67.29%","","","","905","","","41.10%","","","","16,122","","","","64.97%"
"White
7,113","","31.45%","","","","1,276","","","57.95%","","","","8,389","","","","33.80%"
"Hispanic
211","",".93%","","","","15","","",".68%","","","","226","","","",".91%"
"Native American
31","",".14%","","","","","","",".18%","","","","35","","","",".14%"
"Asian
33","",".15%","","","","4 2","","",".09%","","","","35","","","",".14%"
"Data Unavailable
9","",".04%","","","","0","","",".00%","","","","9","","","",".04%"
"TOTAL
22,614","","100.00%","","","","2,202","","","100.00%","","","","24,816","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,119","","0","956","1","","18","0","","4","0","3","","0","0","0","3,101"
"CMCF","1,243","","508","784","620","","13","7","","3","3","3","","1","0","0","3,185"
"SMCI","2,046","","0","1,027","0","","46","0","","6","0","6","","0","0","0","3,131"
"County Jails (approved)","728","","56","450","95","","2","1","","2","0","0","","1","0","0","1,335"
"County Jails (unapproved)","132","","4","88","9","","4","1","","0","0","0","","0","0","0","238"
"Private Prisons","3,875","","0","1,231","0","","33","0","","7","0","6","","0","0","0","5,152"
"Regional Correctional Facilities","2,195","","25","1,010","35","","32","0","","2","0","4","","0","2","0","3,305"
"Community Work Centers","936","","54","419","144","","7","0","","1","0","2","","0","0","0","1,563"
"Community Trusties","11","","0","8","0","","0","0","","0","0","0","","0","0","0","19"
"Pending File Review","33","","5","24","9","","1","0","","0","0","0","","0","0","0","72"
"Court Order","153","","8","75","19","","0","0","","0","0","1","","0","0","0","256"
"","13,471","","660","6,072","932","","156","9","","25","3","25","","2","2","0","21,357"
"Intensive Supervison Program","608","","155","539","252","","10","1","","4","0","6","","0","2","0","1,577"
"Earned Release Supervision","905","","74","347","69","","1","1","","1","0","0","","0","0","0","1,398"
"Medical Release","21","","5","7","3","","0","0","","0","0","0","","0","0","0","36"
"Other Custody","179","","9","134","18","","41","4","","1","1","2","","0","5","0","394"
"At Large","21","","0","11","2","","3","0","","0","0","0","","0","0","0","37"
"Off-Grounds Medical (Hospital)","12","","2","3","0","","0","0","","0","0","0","","0","0","0","17"
"TOTAL","15,217","","905","7,113","1,276","","211","15","","31","4","33","","2","9","0","24,816"
"% OF TOTAL OFFENDERS","61.32%","","3.65%","28.66%","5.14%","",".85%",".06%","",".12%",".02%",".13%","",".01%",".04%",".00%","100.00%"
