"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,529","4,482","34.33%"
"Central Mississippi Correctional Facility","3,293","3,273","25.07%"
"South Mississippi Correctional Institution","2,155","2,060","15.78%"
"County Jails - Approved*","1,824","1,356","10.39%"
"County Jails - Unapproved**","0","133","1.02%"
"Community Work Centers","1,816","1,750","13.41%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,617","13,054","100.00%"
"Bolivar County Correctional Facility","294","292","9.51%"
"Carroll County Correctional Facility","280","279","9.09%"
"George County Correctional Facility","280","277","9.02%"
"Holmes County Correctional Facility","280","280","9.12%"
"Issaquena County Correctional Facility","274","274","8.93%"
"Jefferson County Correctional Facility","274","273","8.89%"
"Kemper County Correctional Facility","280","278","9.06%"
"Leake County Correctional Facility","280","279","9.09%"
"Marion County Correctional Facility","280","279","9.09%"
"Stone County Correctional Facility","280","280","9.12%"
"Winston County Correctional Facility","280","279","9.09%"
"TOTAL REGIONAL FACILITIES","3,082","3,070","100.00%"
"Delta Correctional Facility","972","964","19.78%"
"East MS Correctional Facility","1,000","868","17.81%"
"Marshall County Correctional Facility","1,000","994","20.39%"
"Tallahatchie County Correctional Facility","128","127","2.61%"
"Walnut Grove Correctional Facility","1,000","951","19.51%"
"Wilkinson County Correctional Facility","1,000","970","19.90%"
"TOTAL PRIVATE PRISONS","5,100","4,874","100.00%"
"Community Trusties","2","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","48","0.19%"
"Court Order","0","327","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,821","21,389","85.31%"
"Intensive Supervision Program","0","1,553","6.19%"
"Earned Release Supervision Program","","1,682","6.71%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,244","12.94%"
"Other Custody","","307","1.22%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","127","0.51%"
"TOTAL","21,821","25,072","100.00%"
