"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population","22,627","42.00%"
"Community Corrections (ERS, ISP, Medical Release)","2,956","5.49%"
"Other Custody","320","0.59%"
"At Large (Escapees & Walk-Aways)","49","0.09%"
"Off-Grounds Medical (Hospital)","10","0.02%"
"INMATE TOTAL","25,962","48.18%"
"PAROLEES","3,924","7.28%"
"PROBATIONERS","23,994","44.53%"
"PAROLEE AND PROBATIONER TOTAL","27,918","51.82%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,880","100.00%"
