"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","4,792","4,589","34.89%"
"Central Mississippi Correctional Facility","3,233","2,907","22.10%"
"South Mississippi Correctional Institution","2,214","2,153","16.37%"
"County Jails - Approved*","2,327","1,575","11.98%"
"County Jails - Unapproved**","0","227","1.73%"
"Community Work Centers","1816","1,701","12.93%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,382","13,152","100.00%"
"Regional Correctional Facilities","","",""
"Bolivar County Correctional Facility","250","248","9.07%"
"Carroll County Correctional Facility","250","250","9.15%"
"George County Correctional Facility","250","248","9.07%"
"Holmes County Correctional Facility","250","248","9.07%"
"Issaquena County Correctional Facility","250","248","9.07%"
"Jefferson County Correctional Facility","250","249","9.11%"
"Kemper County Correctional Facility","250","249","9.11%"
"Leake Correctional Facility","250","249","9.11%"
"Marion County Correctional Facility","250","246","9.00%"
"Stone County Correctional Facility","250","248","9.07%"
"Winston County Correctional Facility","250","250","9.15%"
"TOTAL REGIONAL FACILITIES","2,750","2,733","100.00%"
"Private Prisons","","",""
"Delta Correctional Facility","960","955","19.99%"
"East MS Correctional Facility","1,000","870","18.21%"
"Marshall County Correctional Facility","1,000","994","20.80%"
"Tallahatchie County Correctional Facility","128","127","2.66%"
"Walnut Grove Correctional Facility","1,000","854","17.87%"
"Wilkinson County Correctional Facility","1,000","978","20.47%"
"TOTAL PRIVATE PRISONS","5,088","4,778","100.00%"
"Community Trusties","4","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","322","1.30%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,244","21,001","84.60%"
"Intensive Supervision Program","0","1,536","6.19%"
"Earned Release Supervision Program","","1,887","7.60%"
"Medical Release","00","7","0.03%"
"TOTAL COMMUNITY CORRECTIONS","0","3,430","13.82%"
"Other Custody","0","273","1.10%"
"Off-Grounds Medical (Hospital)","0","11","0.04%"
"At Large (Escapees & Walk-Aways)","0","110","0.44%"
"TOTAL","22,244","24,825","100.00%"
