"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,190","","67.41%","","","","787","","","42.47%","","","","13,977","","","","65.26%"
"White
6,102","","31.19%","","","","1,038","","","56.02%","","","","7,140","","","","33.33%"
"Hispanic
200","","1.02%","","","","19","","","1.03%","","","","219","","","","1.02%"
"Native American
24","",".12%","","","","","","",".27%","","","","29","","","",".14%"
"Asian
43","",".22%","","","","","","",".16%","","","","46","","","",".21%"
"Data Unavailable
7","",".04%","","","","1","","",".05%","","","","8","","","",".04%"
"TOTAL
19,566","","100.00%","","","","1,853","","","100.00%","","","","21,419","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,114","","0","963","0","","20","0","","4","0","6","","0","1","0","3,108"
"CMCF","833","","365","445","405","","6","5","","3","2","3","","2","0","0","2,069"
"SMCI","1,513","","0","867","0","","32","0","","1","0","8","","0","0","0","2,421"
"County Jails (approved)","620","","27","380","43","","4","0","","0","0","0","","1","0","0","1,075"
"County Jails (unapproved)","79","","5","46","7","","1","0","","0","0","0","","0","0","0","138"
"Youthful Offender Facility","23","","0","4","0","","0","0","","0","0","0","","0","0","0","27"
"Private Prisons","3,134","","0","1,022","0","","38","0","","8","0","8","","0","0","0","4,210"
"Regional Correctional Facilities","2,657","","120","1,161","142","","36","3","","2","0","7","","0","0","0","4,128"
"Community Work Centers","599","","56","291","116","","0","1","","2","0","1","","0","2","0","1,068"
"Community Trusties","6","","0","3","0","","0","0","","0","0","0","","0","0","0","9"
"Pending File Review","32","","5","19","5","","1","0","","0","0","1","","0","0","0","63"
"Court Order","141","","6","88","21","","1","0","","0","0","0","","1","0","0","258"
"","11,751","","584","5,289","739","","139","9","","20","2","34","","4","3","0","18,574"
"Intensive Supervison Program","491","","132","387","231","","5","4","","0","2","3","","0","1","1","1,257"
"Earned Release Supervision","672","","60","222","44","","4","0","","2","0","1","","0","0","0","1,005"
"Medical Release","10","","0","7","2","","0","0","","0","0","0","","0","0","0","19"
"Other Custody","246","","11","186","20","","49","6","","2","1","4","","0","3","0","528"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","0","27"
"Off-Grounds Medical (Hospital)","4","","0","5","0","","0","0","","0","0","0","","0","0","0","9"
"TOTAL","13,190","","787","6,102","1,038","","200","19","","24","5","42","","4","7","1","21,419"
"% OF TOTAL OFFENDERS","61.58%","","3.67%","28.49%","4.85%","",".93%",".09%","",".11%",".02%",".20%","",".02%",".03%",".00%","5 3
100.00%"
