"INMATES","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population","21,158","47.08%",""
"Community Corrections (ERS, ISP, Medical Release)","2,580","5.74%",""
"Other Custody","226","0.50%",""
"At Large (Escapees & Walk-Aways)","45","0.10%",""
"University of MS Medical Center","0","0.00%",""
"","24,009","53.42%","Inmate Total"
"PAROLEES","1,927","4.29%",""
"PROBATIONERS","19,005","42.29%",""
"","20,932","46.58%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","44,941","100.00%",""
