"As of April 1 , 2020","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","18,530","33.45%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,480","2.67%"
"Other Custody","476",".86%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20,519","37.04%"
"PAROLEES","9,323","16.83%"
"TVC Parole","111","0.20%"
"PROBATIONERS","25,356","45.77%"
"TVC Probation","92","0.17%"
"PAROLEE AND PROBATIONER TOTAL","34,882","62.96%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55,401","100.00%"
