"TOTAL
22,529","","100.00%","","2,340","","100.00%","","24,869","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,204","","0","1,230","0","36","0","5","0","4","0","1","0","4,480"
"CMCF","1,031","","737","552","632","7","7","1","2","1","5","0","1","2,976"
"SMCI","1,435","","0","698","0","24","0","3","0","11","0","0","0","2,171"
"County Jails (approved)","866","","68","589","101","6","1","3","1","3","0","10","0","1,648"
"County Jails (unapproved)","74","","7","67","22","1","0","0","0","0","1","0","0","172"
"Private Prisons","3,608","","0","1,179","0","17","0","7","0","10","0","0","0","4,821"
"Regional Correctional Facilities","2,015","","0","700","0","17","0","2","0","2","0","0","0","2,736"
"Community Work Centers","1,028","","116","474","92","6","1","0","0","3","0","0","0","1,720"
"Community Trusties","8","","0","7","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","177","","15","122","16","0","0","0","0","0","0","0","0","330"
"","13,446","","943","5,618","863","114","9","21","3","34","6","11","1","21,069"
"Intensive Supervison Program","654","","123","556","179","5","1","2","0","2","2","9","2","1,535"
"Earned Release Supervision","1,217","","110","459","71","4","0","1","0","1","0","0","0","1,863"
"Medical Release","3","","0","3","1","0","0","0","0","0","0","0","0","7"
"Other Custody","128","","7","118","11","19","0","0","0","0","0","2","0","285"
"At Large","61","","3","30","4","3","0","0","0","0","0","0","0","101"
"Off-Grounds Medical (Hospital)","6","","0","2","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15,515","","1,186","6,786","1,130","145","10","24","3","37","8","22","3","24,869"
"% OF TOTAL OFFENSES","62.39%","","4.77%","27.29%","4.54%","0.58%","0.04%","0.10%","0.01%","0.15%","0.03%","0.09%","0.01%","100.00%"
