"","Fact Sheet","",""
"","","As of November 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","7",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","75",".36%"
"TVC","0","78",".37%"
"Transitional Housing","0","15",".07%"
"Court Order","0","233","1.10%"
"RRP","0","80",".38%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,091","90.53%"
"Intensive Supervision Program","0","856","4.06%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","588","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,467","6.96%"
"Other Custody","0","498","2.36%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,088","100.00%"
