"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,630","4,480","34.02%"
"Central Mississippi Correctional Facility","3,233","2,976","22.60%"
"South Mississippi Correctional Institution","2,214","2,171","16.49%"
"County Jails - Approved*","2,329","1,648","12.52%"
"County Jails - Unapproved**","0","172","1.31%"
"Community Work Centers","1,816","1,720","13.06%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,222","13,167","100.00%"
"Bolivar County Correctional Facility","250","248","9.06%"
"Carroll County Correctional Facility","250","250","9.14%"
"George County Correctional Facility","250","249","9.10%"
"Holmes County Correctional Facility","250","251","9.17%"
"Issaquena County Correctional Facility","250","247","9.03%"
"Jefferson County Correctional Facility","250","248","9.06%"
"Kemper County Correctional Facility","250","248","9.06%"
"Leake Correctional Facility","250","250","9.14%"
"Marion County Correctional Facility","250","245","8.95%"
"Stone County Correctional Facility","250","249","9.10%"
"Winston County Correctional Facility","250","251","9.17%"
"TOTAL REGIONAL FACILITIES","2,750","2,736","100.00%"
"Delta Correctional Facility","960","958","19.87%"
"East MS Correctional Facility","1,000","866","17.96%"
"Marshall County Correctional Facility","1,000","990","20.54%"
"Tallahatchie County Correctional Facility","128","128","2.66%"
"Walnut Grove Correctional Facility","1,000","895","18.56%"
"Wilkinson County Correctional Facility","1,000","984","20.41%"
"TOTAL PRIVATE PRISONS","5,088","4,821","100.00%"
"Community Trusties","4","15","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","330","1.33%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,084","21,069","84.72%"
"Intensive Supervision Program","0","1,535","6.17%"
"Earned Release Supervision Program","","1,863","7.49%"
"Medical Release","00","7","0.03%"
"TOTAL COMMUNITY CORRECTIONS","0","3,405","13.69%"
"Other Custody","0","285","1.15%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","101","0.41%"
"TOTAL","22,084","24,869","100.00%"
