"TOTAL","18,562","","100.00%","1,547","","100.00%","","20,110","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","","Data Unavailable TOTAL",""
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","1,359","0","670","0","16","0","0","0","5","0","0","0","2,050"
"CMCF","1,453","370","1,024","492","28","5","8","3","15","0","0","0","3,398"
"SMCI","1,623","0","885","0","21","0","2","0","6","0","0","0","2,537"
"County Jails (approved)","346","4","341","11","7","0","0","0","2","0","1","0","712"
"County Jails (unapproved)","292","11","210","38","6","0","3","0","0","0","5","0","565"
"Youthful Offender Facility","17","1","1","0","0","0","0","0","0","0","0","0","19"
"Private Prisons","2,828","0","969","0","24","0","7","0","2","0","1","0","3,831"
"Regional Correctional Facilities","2,544","52","1,358","81","56","2","8","0","12","0","1","0","4,114"
"Community Work Centers","205","24","120","115","3","0","0","1","1","0","0","0","469"
"Community Trusties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TVC","46","0","16","0","0","0","0","0","0","0","0","0","62"
"Transitional Housing","4","0","6","2","1","0","0","0","0","0","0","0","13"
"Pending File Review","57","2","44","5","1","0","0","0","1","0","0","0","110"
"RRP","16","2","31","14","0","0","0","0","0","0","0","0","63"
"Court Order","103","3","76","6","1","0","0","0","0","0","0","0","189"
"","10,893","469","5,751","764","164","7","28","4","44","0","8","0","18,132"
"Intensive Supervison Program","367","82","311","140","3","0","0","0","0","2","1","0","906"
"Earned Release Supervision","370","23","114","25","2","0","0","1","1","0","0","0","536"
"Medical Release","7","0","10","0","0","0","0","0","0","0","0","0","17"
"Other Custody","247","7","173","17","27","0","0","0","2","0","1","0","474"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","0","3","0","0","0","0","0","0","0","0","0","10"
"TOTAL","11,908","581","6,371","950","199","7","28","5","47","0","10","0","20,108"
"% OF TOTAL OFFENDERS","59.22%","2.89%","31.68%","4.72%",".99%",".03%",".14%",".02%",".23%",".00%",".05%",".00%","100.00%"
