"BY TYPE","","",""
"","NO. OF","% OF TOTAL",""
"","OFFENDERS","OFFENDERS",""
"INMATES","","",""
"Custody Population","20,586","46.26%",""
"Community Corrections (ERS, ISP, Medical Release)","2,596","5.83%",""
"Other Custody","225","0.51%",""
"At Large (Escapees & Walk-Aways)","163","0.37%",""
"University of MS Medical Center","1","0.00%",""
"","23,571","52.96%","Inmate Total"
"PAROLEES","1,816","4.08%",""
"PROBATIONERS","19,116","42.95%",""
"","20,932","47.04%","Parolees & Probationers Total"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","44,503","100.00%",""
